Date,Open,High,Low,Close,Volume
2003-04-14,7.1493870475,7.1992831230,7.1493870475,7.1992831230,93600
2003-04-15,7.2434790164,7.3062058120,7.2434790164,7.2848215103,421200
2003-04-16,7.3632269207,7.3988661850,7.3632269207,7.3689289093,9000
2003-04-17,7.4095592970,7.4238148817,7.3967285979,7.4216766357,17100
2003-04-21,7.4302327394,7.4309454883,7.4131261545,7.4188275337,72900
2003-04-22,7.4181142487,7.4437756538,7.3953050625,7.4437756538,19800
2003-04-23,7.4487636982,7.4787015915,7.4238156577,7.4787015915,31500
2003-04-24,7.4202482885,7.4202482885,7.3133280798,7.3311486244,90000
2003-04-25,7.2285080653,7.2285080653,7.1992829247,7.2099747658,102600
2003-04-28,7.2285090488,7.3290133476,7.2277963001,7.3290133476,91800
2003-04-29,7.4423491480,7.5414285637,7.4423491480,7.5378642082,76500
2003-04-30,7.5200451436,7.5264598830,7.4972359579,7.5164813995,228600
2003-05-01,7.4950935573,7.5250308289,7.4844017183,7.4872527122,234900
2003-05-02,7.5114911015,7.6020169258,7.5114911015,7.6020169258,67500
2003-05-05,7.6305286079,7.6854139337,7.6305286079,7.6839890480,47700
2003-05-06,7.6839881136,7.7324580828,7.6768600150,7.7231917381,109800
2003-05-07,7.6911180406,7.7103640964,7.6847033004,7.7089385986,313200
2003-05-08,7.6626047347,7.6668818394,7.6340929464,7.6412210464,417600
2003-05-09,7.6519108202,7.7367340182,7.6519108202,7.7310314178,63000
2003-05-12,7.7659596148,7.8386654854,7.7623958715,7.8386654854,752400
2003-05-13,7.8108672741,7.8108672741,7.7730885316,7.7944722176,276300
2003-05-14,7.7944731603,7.7944731603,7.7403005784,7.7552695274,206100
2003-05-15,7.7709479332,7.7709479332,7.7517024978,7.7709479332,337500
2003-05-16,7.7909080570,7.8051642548,7.7552681745,7.7766518593,256500
2003-05-19,7.7267544417,7.7267544417,7.5628106433,7.5913224220,128700
2003-05-20,7.6091424803,7.6383676199,7.5877587989,7.6291012764,53100
2003-05-21,7.6155608356,7.6376578861,7.5756444513,7.6355190277,45900
2003-05-22,7.6376533520,7.7046566010,7.6376533520,7.7046566010,84600
2003-05-23,7.7588306314,7.8023113544,7.7588306314,7.7837786674,74700
2003-05-27,7.8023097336,8.0674717311,7.8023097336,8.0624818802,864000
2003-05-28,8.0624840256,8.1088163574,8.0624840256,8.0974111557,396000
2003-05-29,8.0902832007,8.1244975827,8.0760276160,8.1081037521,306900
2003-05-30,8.1259264840,8.2021961212,8.1095320360,8.2021961212,368100
2003-06-02,8.2257139608,8.3540178737,8.2257139608,8.2613544464,587700
2003-06-03,8.2684861797,8.2684861797,8.1309152518,8.1986312866,244800
2003-06-04,8.1972051717,8.3048381927,8.1972051717,8.3041248322,241200
2003-06-05,8.3340610665,8.3340610665,8.2585042034,8.3126773834,509400
2003-06-06,8.3575871918,8.4751993348,8.3568744429,8.3903760910,608400
2003-06-09,8.4010653210,8.4010653210,8.2920068192,8.3183803558,208800
2003-06-10,8.3212332820,8.4039182663,8.3212332820,8.4039182663,233100
2003-06-11,8.4003513259,8.4174585166,8.3397634099,8.4110431671,294300
2003-06-12,8.4253011073,8.4744844437,8.4188857565,8.4744844437,402300
2003-06-13,8.4545248125,8.4787601021,8.4481094628,8.4716320038,694800
2003-06-16,8.4965788987,8.5635827742,8.4858876696,8.5628700256,163800
2003-06-17,8.6505450376,8.7460607086,8.6505450376,8.7389326096,352800
2003-06-18,8.7154118908,8.7560410211,8.6876122394,8.7068576813,171900
2003-06-19,8.7781380701,8.7923942703,8.6961664489,8.7068576813,225900
2003-06-20,8.7318057256,8.7460619257,8.6819096369,8.7068576813,300600
2003-06-23,8.6783424159,8.6783424159,8.4908760900,8.4930143356,332100
2003-06-24,8.4573745952,8.4573745952,8.3825304910,8.4302883148,188100
2003-06-25,8.4516734243,8.5521783287,8.4516734243,8.5001440048,1045800
2003-06-26,8.5407741356,8.5963728213,8.5258057999,8.5920963287,210600
2003-06-27,8.6034980396,8.6070623940,8.5307927964,8.5521764755,373500
2003-06-30,8.5764133008,8.5764133008,8.5322198257,8.5464754105,279900
2003-07-01,8.5785515994,8.6462682274,8.5536035612,8.6391401291,679500
2003-07-02,8.7353693148,8.8487043216,8.7353693148,8.8422889709,1129500
2003-07-03,8.8672370911,8.8715141955,8.8494171482,8.8672370911,110700
2003-07-07,8.9599036292,9.0867815018,8.9599036292,9.0867815018,569700
2003-07-08,9.1038846069,9.1288326432,9.0703835875,9.1124382019,347400
2003-07-09,9.1060251599,9.1060251599,9.0525653307,9.0910568237,472500
2003-07-10,9.0411591472,9.0411591472,8.9028761198,8.9313879013,1603800
2003-07-11,8.9313843619,9.0062284470,8.9313843619,9.0062284470,212400
2003-07-14,9.1060223041,9.2022507005,9.1060223041,9.1644725800,683100
2003-07-15,9.2093817949,9.2093817949,9.0490016937,9.0490016937,2222100
2003-07-16,9.0311804625,9.0810765413,9.0048069258,9.0561285019,828000
2003-07-17,8.9991035356,8.9991035356,8.8194780350,8.8194780350,367200
