Date,Open,High,Low,Close,Volume
2001-08-27,21.8987013302,21.8987013302,21.8187589370,21.8561782837,44700
2001-08-28,21.7031004680,21.7286131281,21.5653297674,21.6061515808,319800
2001-08-29,21.6605699059,21.6690741223,21.4819774699,21.5074920654,128400
2001-08-30,21.2608731100,21.2608731100,21.1418120945,21.2013416290,36900
2001-08-31,21.1928260338,21.2863743415,21.1588091752,21.2523574829,1656900
2001-09-04,20.8016369627,21.0057421118,20.7676200867,20.7676200867,570000
2001-09-05,20.6995861482,20.7591176328,20.5805251255,20.6400566101,31500
2001-09-06,20.3253934905,20.3253934905,20.1723155975,20.1723155975,284700
2001-09-07,20.1382992222,20.1382992222,19.9852213255,20.0532550812,99900
2001-09-10,19.6110314653,19.8321450827,19.4919704365,19.8236389160,1438200
2001-09-17,18.7520887777,19.0327318939,18.7265761210,18.9561939240,170400
2001-09-18,18.7861074054,18.9221768667,18.7095694283,18.8031158447,991500
2001-09-19,18.9817063468,18.9817063468,18.5139665279,18.7520885468,435600
2001-09-20,18.2503308228,18.2503308228,17.9356708527,17.9356708527,123000
2001-09-21,16.6685210350,17.6039985711,16.6685210350,17.4339122772,110100
2001-09-24,18.0292157707,18.2758419742,17.9186609419,18.2418251038,139500
2001-09-25,18.4374268716,18.5905067048,18.2928532038,18.4544372559,151500
2001-09-26,18.6160246085,18.6160246085,18.4884593425,18.5479888916,138600
2001-09-27,18.5479862746,18.8456398175,18.5139693942,18.8405361176,662400
2001-09-28,19.0327376276,19.2470482904,18.9953182747,19.2079277039,663900
2001-10-01,18.9136688235,19.1041660309,18.8762494859,19.1041660309,432900
2001-10-02,18.9075983381,19.1716232300,18.9075983381,19.1716232300,309900
2001-10-03,18.8224264578,19.4509760522,18.8224264578,19.3675117493,398700
2001-10-04,19.5378526795,19.6741235350,19.3504809841,19.5736236572,578400
2001-10-05,19.5736226146,19.6911560994,19.4697152399,19.6042842865,274200
2001-10-08,19.3726198694,19.6315354158,19.3504769565,19.4867458344,127800
2001-10-09,19.5804394617,19.6485758737,19.4101013557,19.4356517792,2442600
2001-10-10,19.6741167722,19.8614903526,19.6741167722,19.8274211884,84600
2001-10-11,20.0403544664,20.0897515610,19.8444639916,19.9637012482,197400
2001-10-12,19.7252225463,19.9381465912,19.7252225463,19.9381465912,83400
2001-10-15,19.6741229177,19.7592929308,19.6145033237,19.6230220795,192600
