Date,Open,High,Low,Close,Volume
2002-07-30,40.6412513643,40.7305293412,40.5222115390,40.5569305420,41300
2002-07-31,40.6957754696,40.9586482364,40.6957754696,40.9288864136,32600
2002-08-01,40.9387650944,41.1173207069,40.9288432358,41.0974807739,71400
2002-08-02,41.1769060299,41.5141778897,41.1173899150,41.4149818420,120300
2002-08-05,41.5042398002,41.6232757568,41.4298409082,41.6232757568,159300
2002-08-06,41.4198989096,41.4198989096,41.1818233497,41.2859802246,90100
2002-08-07,41.2612268329,41.4893807698,41.2165859626,41.4149818420,38100
2002-08-08,41.3305921821,41.3653111162,41.2115525933,41.2710723877,142600
2002-08-09,41.3256776743,41.6034294589,41.3256776743,41.5786323547,99600
2002-08-12,41.7125580576,41.8018359805,41.6381591579,41.6629600525,38100
2002-08-13,41.8216672719,42.0299811208,41.6927094580,41.9952621460,109300
2002-08-14,42.1539743052,42.2730140233,41.8415035592,41.8712615967,146100
2002-08-15,41.6629576580,41.8266344713,41.5389607602,41.6282386780,60500
2002-08-16,41.7869603024,41.7968783906,41.3008907313,41.3554496765,55800
2002-08-19,41.4199157865,41.4199157865,41.2314381210,41.3951148987,41600
2002-08-20,41.5637561575,41.7770309448,41.5141543776,41.7770309448,56900
2002-08-21,41.5538460996,41.6828039525,41.5141661781,41.6728820801,37900
2002-08-22,41.5637782584,41.5637782584,41.4149804080,41.4496994019,43600
2002-08-23,41.5240780594,41.6629539672,41.4943200175,41.6381530762,26500
2002-08-26,41.6233010201,41.7621770178,41.5985038971,41.6580200195,27800
2002-08-27,41.5389537019,41.6282316045,41.4496757993,41.5339927673,38800
2002-08-28,41.7075841239,41.7472640293,41.6629470684,41.6877479553,40200
2002-08-29,41.9456606338,41.9555787183,41.8266246993,41.8811836243,101500
2002-08-30,41.9506455695,41.9804036241,41.8117696024,41.9605636597,28900
2002-09-03,42.3487383006,42.6025630500,42.3039477080,42.4184188843,110700
2002-09-04,42.3835875719,42.5279153703,42.3437711737,42.4034919739,77300
2002-09-05,42.6025876157,42.6274738240,42.3985351365,42.5727272034,57900
2002-09-06,42.3487512041,42.4283840114,42.2243277906,42.2442359924,32200
2002-09-09,42.2741248568,42.3786401295,42.1795617923,42.1845397949,88800
2002-09-10,42.1596131302,42.4084598637,42.1347307351,42.3338050842,21400
2002-09-11,42.1098581081,42.1795349121,42.0501335058,42.1795349121,77500
2002-09-12,42.2043908341,42.4183990922,42.2043908341,42.3984909058,39900
2002-09-13,42.4931028421,42.6274823184,42.4483122147,42.5976181030,125900
2002-09-16,42.6573318146,42.7618470488,42.6125411987,42.6125411987,108700
2002-09-17,42.5030073004,42.7817143249,42.5030073004,42.7518539429,30400
2002-09-18,42.7618460338,42.9111556775,42.7568718302,42.8016624451,76400
2002-09-19,43.0106508189,43.0355370008,42.8613451184,43.0156288147,61100
