Date,Open,High,Low,Close,Volume
2004-09-29,19.4958953857,19.5506494060,19.4919851302,19.4958953857,205800
2004-09-30,19.5545500191,19.6836107653,19.5506397655,19.6523227692,27900
2004-10-01,19.6914307495,20.0434132373,19.6523222473,20.0160369873,129800
2004-10-04,20.0981695527,20.1607440633,20.0981695527,20.1020812988,8100
2004-10-05,20.1020810728,20.1411895821,20.0825253263,20.0981693268,11900
2004-10-06,20.1411857997,20.1920280457,20.1372755463,20.1920280457,9300
2004-10-07,20.1998558603,20.1998558603,19.9847545624,19.9847545624,7900
2004-10-08,20.1685561860,20.1685561860,20.0434072260,20.0825157166,16400
2004-10-11,20.1411803754,20.1411803754,19.9847434262,20.0042991638,4500
2004-10-12,20.0238607393,20.0707912445,19.9456422361,20.0707912445,3600
2004-10-13,20.1607439465,20.1724776928,20.1216354370,20.1216354370,2500
2004-10-14,20.1216349242,20.2819821958,20.1216349242,20.2780704498,19200
2004-10-15,20.3758355578,20.4853420258,20.3680150526,20.4853420258,9800
2004-10-18,20.4736136978,20.6496049500,20.4501491921,20.5948524475,4000
2004-10-19,20.6495994898,20.7278179692,20.4853420258,20.4853420258,6200
2004-10-20,20.4540618199,20.4540618199,20.1959417840,20.3875770569,5500
2004-10-21,20.3484646944,20.5948524475,20.3484646944,20.5948524475,7400
2004-10-22,20.5909503446,20.6887231354,20.4306030273,20.4306030273,69900
2004-10-25,20.4149438957,20.4149438957,20.2624186937,20.3328151703,14000
2004-10-26,20.3875842406,20.5244655609,20.3445639708,20.5244655609,9000
2004-10-27,20.6730686304,20.7669296265,20.6261381324,20.7669296265,9100
2004-10-28,20.7317506751,20.8256132504,20.7161081558,20.7786827087,12800
2004-10-29,20.8959903609,20.8959903609,20.7199991284,20.7669296265,50200
2004-11-01,20.8060393726,20.9702968597,20.7982173744,20.9702968597,5400
2004-11-02,21.0094070987,21.0094070987,20.7669296265,20.7669296265,14100
2004-11-03,21.0758878042,21.0758878042,20.9468285864,20.9781150818,12800
2004-11-04,20.9624821049,21.2949104309,20.9624821049,21.2949104309,5200
2004-11-05,21.2323368367,21.2323368367,20.6887204296,20.7200069427,51900
2004-11-08,20.7864949488,20.8099594627,20.6848104156,20.7747612000,31600
2004-11-09,20.7786595760,20.8529663086,20.7434613359,20.8529663086,22300
2004-11-10,20.8842637063,21.0563432398,20.8295097034,21.0015907288,13600
2004-11-11,21.0133111822,21.1736583710,21.0015789341,21.1736583710,13600
2004-11-12,21.2245152719,21.5882301331,21.1932272662,21.5882301331,14900
2004-11-15,21.7172890039,21.8854583016,21.6860024906,21.8619937897,39900
2004-11-16,21.9871314770,21.9871314770,21.7290115356,21.7290115356,26000
2004-11-17,21.8033306113,21.8228848695,21.1502091369,21.2245159149,21500
2004-11-18,21.4278777466,21.4278777466,21.0133207205,21.1893119812,80200
2004-11-19,21.2245065805,21.2909913276,20.9702968597,20.9702968597,74800
2004-11-22,21.0563393395,21.1267358383,20.9233683408,21.1150035858,84200
2004-11-23,21.0993669915,21.2792685552,21.0289704679,21.2049617767,9100
2004-11-24,21.4122368673,21.6273366653,21.4122368673,21.5725841522,10600
2004-11-26,21.6664465602,21.7016448173,21.5295637863,21.5491180420,11800
2004-11-29,21.6077846938,21.6077846938,21.3692188685,21.4709033966,86900
2004-11-30,21.5491201259,21.5882301331,21.4005065744,21.5882301331,32800
2004-12-01,21.6468827271,22.0457956612,21.6390622213,22.0066871643,23600
2004-12-02,22.0066874776,22.0066874776,21.7211912691,21.8189640045,36900
2004-12-03,21.9011074496,22.1201190612,21.9011074496,22.1122970581,35800
2004-12-06,22.1553152586,22.3156625777,22.0810069819,22.2178897858,53800
2004-12-07,22.2648188036,22.2648188036,21.9050141776,21.9363021851,47900
2004-12-08,21.9832194139,22.0966361344,21.9010906819,21.9949531555,76000
2004-12-09,22.0145147582,22.1553077698,21.8776320006,22.1553077698,24900
2004-12-10,22.1357535591,22.3430328369,22.1279330507,22.3430328369,13700
2004-12-13,22.4095253996,22.4095253996,22.2570000707,22.2804660797,14900
