Portfolio,Cost bps,ETF universe,Data source,Start date,End date,Momentum lookback trading days,Momentum definition,Rebalance timing,Cash return annual,Initial capital,CAGR,Annualized volatility,"Sharpe ratio, 0% risk-free",Max drawdown,Calmar ratio,Total turnover,Rebalance count,Average number of holdings,Final equity
Top 1 momentum,0.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.0778353522,0.2123832669,0.4603992130,-0.5133734107,0.1516154725,195.0000000000,239,0.9962068277,44492.3809361788
Top 1 momentum,5.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.0725802462,0.2123494045,0.4373731043,-0.5206275248,0.1394091606,195.0000000000,239,0.9962068277,40365.7667338115
Top 1 momentum,10.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.0673455617,0.2123381297,0.4142955749,-0.5284810038,0.1274323224,195.0000000000,239,0.9962068277,36618.3376770433
Top 3 momentum,0.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.1147084671,0.1388923492,0.8531577606,-0.2810231694,0.4081815295,101.3179810643,239,2.9886204831,86940.7256353208
Top 3 momentum,5.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.1118843868,0.1388484374,0.8350721273,-0.2815330905,0.3974111412,101.3179810643,239,2.9886204831,82657.7159920913
Top 3 momentum,10.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.1090663593,0.1388115360,0.8169337915,-0.2820428214,0.3867014191,101.3179810643,239,2.9886204831,78584.1478231218
Equal weight,0.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.0690092698,0.1432590789,0.5385247397,-0.4361247421,0.1582328704,7.4317865579,239,6.9734477940,37771.9727867143
Equal weight,5.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.0688097612,0.1432596849,0.5372175270,-0.4362920423,0.1577149125,7.4317865579,239,6.9734477940,37631.8313913213
Equal weight,10.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.0686102736,0.1432603972,0.5359099279,-0.4364592985,0.1571974152,7.4317865579,239,6.9734477940,37492.1985171018
SPY buy and hold,0.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.1130668365,0.1945456771,0.6491377818,-0.5518943391,0.2048704407,1.0000000000,1,0.9998003594,84426.0460320961
SPY buy and hold,5.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.1130387771,0.1945462696,0.6490065055,-0.5518943391,0.2048195987,1.0000000000,1,0.9998003594,84383.6706697903
SPY buy and hold,10.0000000000,SPY EFA EEM IEF GLD DBC VNQ,Yahoo Finance via yfinance,2006-08-07,2026-07-07,126,adjusted_close[t] / adjusted_close[t-126] - 1,Month-end close target; next trading day effective,0.0000000000,10000.0000000000,0.1130107042,0.1945469267,0.6488750145,-0.5518943391,0.2047687324,1.0000000000,1,0.9998003594,84341.2953074842
