Portfolio,Signal date,Effective date,Momentum ranking,Old weights,New weights,Turnover,Cost bps,Cost as portfolio return,OldWeight_SPY,NewWeight_SPY,OldWeight_EFA,NewWeight_EFA,OldWeight_EEM,NewWeight_EEM,OldWeight_IEF,NewWeight_IEF,OldWeight_GLD,NewWeight_GLD,OldWeight_DBC,NewWeight_DBC,OldWeight_VNQ,NewWeight_VNQ
Top 1 momentum,2006-08-31,2006-09-01,VNQ > GLD > EFA > DBC > IEF > SPY > EEM,cash,VNQ:1.000000000000,1.0000000000,5.0000000000,0.0005000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2006-09-29,2006-10-02,VNQ > EFA > IEF > SPY > GLD > DBC > EEM,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2006-10-31,2006-11-01,VNQ > SPY > IEF > EFA > EEM > DBC > GLD,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2006-11-30,2006-12-01,VNQ > EEM > SPY > EFA > IEF > GLD > DBC,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2006-12-29,2007-01-03,EEM > VNQ > EFA > SPY > IEF > GLD > DBC,VNQ:1.000000000000,EEM:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2007-01-31,2007-02-01,VNQ > EEM > EFA > SPY > IEF > GLD > DBC,EEM:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Top 1 momentum,2007-02-28,2007-03-01,VNQ > EEM > EFA > SPY > GLD > IEF > DBC,VNQ:1.000000000000,VNQ:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
Top 1 momentum,2007-03-30,2007-04-02,EEM > EFA > VNQ > GLD > DBC > SPY > IEF,VNQ:1.000000000000,EEM:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
Top 1 momentum,2007-04-30,2007-05-01,EEM > EFA > GLD > SPY > VNQ > DBC > IEF,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-05-31,2007-06-01,EEM > EFA > SPY > VNQ > DBC > GLD > IEF,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-06-29,2007-07-02,EEM > EFA > SPY > DBC > GLD > IEF > VNQ,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-07-31,2007-08-01,EEM > DBC > EFA > IEF > SPY > GLD > VNQ,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-08-31,2007-09-04,EEM > EFA > SPY > GLD > DBC > IEF > VNQ,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-09-28,2007-10-01,EEM > GLD > DBC > SPY > EFA > IEF > VNQ,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-10-31,2007-11-01,EEM > DBC > GLD > EFA > IEF > SPY > VNQ,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-11-30,2007-12-03,EEM > DBC > GLD > IEF > EFA > SPY > VNQ,EEM:1.000000000000,EEM:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2007-12-31,2008-01-02,GLD > DBC > EEM > IEF > EFA > SPY > VNQ,EEM:1.000000000000,GLD:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-01-31,2008-02-01,GLD > DBC > IEF > EEM > VNQ > SPY > EFA,GLD:1.000000000000,GLD:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-02-29,2008-03-03,GLD > DBC > IEF > EEM > EFA > SPY > VNQ,GLD:1.000000000000,GLD:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-03-31,2008-04-01,DBC > GLD > IEF > EEM > EFA > VNQ > SPY,GLD:1.000000000000,DBC:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-04-30,2008-05-01,DBC > GLD > IEF > VNQ > EFA > SPY > EEM,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-05-30,2008-06-02,DBC > GLD > VNQ > IEF > EEM > SPY > EFA,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-06-30,2008-07-01,DBC > GLD > IEF > VNQ > EEM > EFA > SPY,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-07-31,2008-08-01,DBC > VNQ > IEF > GLD > EEM > EFA > SPY,DBC:1.000000000000,DBC:1.000000000000,0.0000000000,5.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
Top 1 momentum,2008-08-29,2008-09-02,VNQ > DBC > IEF > SPY > EFA > EEM > GLD,DBC:1.000000000000,VNQ:1.000000000000,2.0000000000,5.0000000000,0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
