Date,Open,High,Low,Close,Volume
1999-03-10,43.0797338030,43.1060661587,42.3687602012,43.0270690918,5232000
1999-03-11,43.3430231259,43.5931803068,42.3950590721,43.2376937866,9688600
1999-03-12,43.0797174766,43.1060498222,41.8420972312,42.1844177246,8743600
1999-03-15,42.5004250934,43.4483899654,42.0527750150,43.3957252502,6369000
1999-03-16,43.5800321007,43.9486849403,43.1060498785,43.7643585205,4905800
1999-03-17,43.7643523615,43.8170170455,43.3167025479,43.4483642578,3965000
1999-03-18,43.3957119283,44.3173441598,43.3825457536,44.2910118103,4848400
1999-03-19,44.8703326167,44.8703326167,43.1323971984,43.1587295532,7160400
1999-03-22,43.3430225921,43.4483519301,42.5530525570,42.6320495605,5024800
1999-03-23,42.3950790718,42.5530731553,41.0521293621,41.1311264038,10962400
1999-03-24,41.4997943701,42.5530886435,40.8678178061,42.5267562866,8447000
1999-03-25,43.1850379570,44.0803375244,42.9019652997,44.0803375244,8133800
1999-03-26,43.7116907645,44.2120052973,43.4220349823,43.6063613892,8256200
1999-03-29,44.1330047021,45.2126307121,43.8696812850,45.1862983704,5113800
1999-03-30,45.1336389998,45.5022918271,44.6859891381,44.8703155518,4940600
1999-03-31,45.6076198485,45.6602845365,44.0803438951,44.2120056152,8256600
1999-04-01,45.5023046647,45.5549693692,44.3963458708,45.1336517334,8715800
1999-04-05,45.8643601982,46.8320738410,45.5812875000,46.7662429810,5697200
1999-04-06,46.7135781751,47.3718867740,46.3185930158,46.8584060669,7522400
1999-04-07,47.2929053840,47.3982347947,45.3706436396,46.3712730408,11923600
1999-04-08,46.2922678386,46.9637427134,45.3443033095,46.7399177551,7952400
1999-04-09,46.6609224616,47.1349047440,46.5292607165,47.0295753479,4946800
1999-04-12,45.9236219679,47.0295807538,45.8709572638,46.7135925293,10934000
1999-04-13,47.0032321930,47.1085615649,45.7129473877,46.0816001892,9962200
1999-04-14,46.6609395044,46.7136042217,44.2449455995,44.5016860962,21253800
1999-04-15,44.6596575646,45.1797213836,43.0797168489,45.1073074341,17650600
1999-04-16,45.0019871315,45.0019871315,43.5537078500,43.7906990051,17274000
1999-04-19,44.0803576063,44.4490105373,41.2957113597,41.7367782593,19460600
1999-04-20,41.5524397138,43.0270510090,41.1574545454,42.6847305298,17413600
1999-04-21,43.0797293078,44.8176645978,42.5004175445,44.7913322449,10940400
1999-04-22,45.2126276118,46.1342595083,44.9163887879,46.0025978088,13630600
1999-04-23,45.7656183879,46.9505739848,45.2916361491,46.6082534790,7064400
1999-04-26,46.9242648512,48.0302239555,46.7728537834,47.6813201904,5421000
1999-04-27,48.0302069595,48.2671981123,46.3515196274,46.9505805969,16482800
1999-04-28,46.5555872192,46.7135812934,45.1402236371,45.3442993164,7676800
1999-04-29,45.1336333925,45.3969568078,44.0276750480,44.9756393433,19148200
1999-04-30,45.6076212334,45.8446123368,43.6590277165,45.2653007507,15295200
1999-05-03,45.1336420695,45.3179684957,44.2712577184,45.0283126831,11109800
1999-05-04,45.1073073933,45.8182807147,44.0540135837,44.3173370361,15428400
1999-05-05,44.3436575937,45.6602745056,43.0007083435,45.6602745056,12642600
1999-05-06,45.2389902815,45.6339756448,43.5800517554,44.0013694763,15173400
1999-05-07,44.3963439536,44.7649968690,43.4483793141,44.6333351135,16430400
1999-05-10,44.9229919131,45.3838080669,44.3963448801,45.0809860229,10604200
1999-05-11,45.4496297239,46.0289413426,45.1863062608,45.7919502258,8800800
1999-05-12,46.0026120103,46.8979118433,44.6596622607,46.7399177551,12507400
1999-05-13,47.1085691091,47.1875661506,45.6602900140,45.8709487915,9864000
1999-05-14,44.9756512940,45.5022982647,44.6596631117,45.0019836426,12205400
1999-05-17,44.6069903707,45.9499399037,44.1659236124,45.8116950989,9906800
1999-05-18,45.7656181327,46.0289415972,45.0809771249,45.6076240540,9267800
1999-05-19,45.7919587937,46.2659411159,45.0809853104,46.2396087646,7985600
1999-05-20,46.3383329718,46.3383329718,44.8966374297,44.9690513611,5997200
1999-05-21,45.1073043160,45.2389660333,44.3173340128,44.5543251038,10958600
1999-05-24,44.6333269613,44.7123240002,43.1323832228,43.4220390320,9569800
1999-05-25,43.3693774735,44.0013538301,41.8157689301,42.0000953674,17771200
1999-05-26,42.5530687188,43.3430390540,41.2364514936,43.1718788147,26772000
1999-05-27,43.0007159102,43.7577707677,42.4477367098,43.1323776245,23334800
1999-05-28,43.3957222970,44.0803635468,42.8427428260,43.8433723450,12969800
1999-06-01,43.7643603060,43.9750190800,42.6320693956,42.8690605164,6960200
1999-06-02,42.8427400373,43.8170371371,41.7696966098,43.5932121277,11996600
1999-06-03,43.9223603641,43.9223603641,42.7110722486,42.9743957520,11147800
1999-06-04,43.2903825304,44.4424228198,43.2903825304,44.2910118103,12987200
