Date,Open,High,Low,Close,Volume
1998-12-01,71.7523430511,72.9301936771,71.1923812781,72.6791763306,8950600
1998-12-02,72.4281559351,72.8529545037,71.6751039273,72.4667739868,7495500
1998-12-03,72.4474967847,73.1040039517,71.1151734163,71.2696456909,12145300
1998-12-04,72.0612653352,73.2198065785,71.9840292523,73.1425704956,10339500
1998-12-07,72.9494901688,73.8183962190,72.9108721221,73.4901428223,4290000
1998-12-08,73.2391547643,73.9922069752,72.6019567398,73.1619186401,10102600
1998-12-09,73.3356608882,73.5094420752,72.8336263482,73.2970428467,5327900
1998-12-10,73.4322245648,73.4322245648,72.1192108203,72.2254104614,5966600
1998-12-11,71.9454102898,72.5053718836,71.4047577165,72.3702087402,8198200
1998-12-14,71.7716693731,71.9261416236,70.2848739624,70.2848739624,9521400
1998-12-15,70.8641366902,72.1385326089,70.7675915449,72.0999145508,9631500
1998-12-16,72.3702284224,72.3702284224,71.5206312904,72.0033569336,7260000
1998-12-17,72.4281183278,73.2777150237,72.3122642329,73.1522064209,6914700
1998-12-18,73.3468575417,73.8505602084,73.0756330289,73.4630966187,4802400
1998-12-21,73.9280005803,75.2260026870,73.7730152542,74.4898223877,8580700
1998-12-22,74.6448324293,75.1485349062,73.8892787141,74.8191909790,5461100
1998-12-23,75.1291488698,76.3884048462,74.8966708434,76.3884048462,7791000
1998-12-24,76.3496719862,76.4077915030,75.9428353681,76.0590744019,1507100
1998-12-28,76.4077976839,76.4465440316,75.6328707297,75.8653488159,4203600
1998-12-29,76.0784657796,77.1730502758,75.7103754181,77.0664978027,3935800
1998-12-30,76.8339889573,77.3376913559,76.2721670511,76.4465255737,6810700
1998-12-31,76.4465255737,76.8339889573,75.9234500059,76.4465255737,6790500
1999-01-04,76.4852988447,77.6283162286,75.4585205167,76.2721939087,9450400
1999-01-05,76.2140620072,77.4151987242,76.2140620072,77.1439743042,8031000
1999-01-06,77.9964170395,79.1975541127,77.9576706823,79.0038223267,7737700
1999-01-07,78.3451314055,78.8682072086,77.9770410255,78.6163558960,5504900
1999-01-08,79.4687800473,79.6625118368,78.0932843419,79.1975555420,6224400
1999-01-11,79.1587781654,79.1587781654,77.6282976282,78.4419708252,7578300
1999-01-12,78.2482892023,78.2482892023,76.7178076853,77.0277786255,7768800
1999-01-13,74.6448613450,77.5702114782,74.6254881653,76.4853134155,10810600
1999-01-14,76.6402787565,76.8146373280,74.9548125654,75.1485443115,11400700
1999-01-15,75.8653265872,77.3570605369,75.6715949054,77.1052093506,7817700
1999-01-19,77.6767156937,77.8801339540,76.5627585538,77.6089096069,6535100
1999-01-20,78.1707699338,79.3137873876,77.5120819096,78.2288894653,6534400
1999-01-21,77.8511053001,78.0157772909,76.0009670505,76.1559524536,6937500
1999-01-22,75.7103506241,76.7758750060,75.4972457477,75.9815750122,7522300
1999-01-25,76.4271867378,76.8727698290,75.5747669110,76.7565307617,5700300
1999-01-26,76.9502607051,78.1513977051,76.6402898665,78.1513977051,6047000
1999-01-27,78.3451311213,78.5001165439,76.9696354958,77.2408599854,7399400
1999-01-28,77.6476903990,78.7132150926,77.6089440465,78.5388565063,5961700
1999-01-29,78.9456954172,79.5365773092,77.7445584562,79.1394271851,6456800
1999-02-01,79.7787245708,79.7787245708,78.6744537354,78.6744537354,9426800
1999-02-02,78.7810139623,78.8681932474,77.3473990519,78.1901321411,9194500
1999-02-03,77.9189038626,79.3137723555,77.8995306891,78.9844284058,10290700
1999-02-04,78.9650871079,79.0425798333,77.3571130574,77.8026962280,7761100
1999-02-05,77.8995463297,77.8995463297,76.3884384924,76.9115142822,7516100
1999-02-08,77.5508272258,77.5508272258,76.4659293181,77.0664978027,8528400
1999-02-09,77.1052130270,77.1827057034,75.3325680541,75.3422546387,8985700
1999-02-10,75.7103600831,76.2528089271,75.2163441716,75.8265991211,6936700
1999-02-11,76.2915759244,78.1707742140,75.9428587160,77.5702056885,9181800
1999-02-12,77.3765085566,77.8027186688,76.0203854722,76.6403274536,10676600
1999-02-16,77.3376829937,77.8801316720,76.1752929688,76.1752929688,6915500
1999-02-17,76.3690408641,77.7154762624,75.7878457281,76.0978164673,7858100
1999-02-18,76.3690432254,77.1052237537,75.7684748997,76.6983871460,9048900
1999-02-19,76.8727931554,77.9576914459,76.4853294802,77.0277786255,5312200
1999-02-22,77.1439813654,79.1781647013,77.0471154923,79.0812988281,10695800
1999-02-23,79.1006457497,79.6624676274,78.4807043674,79.0425262451,7770700
1999-02-24,79.2556478611,79.8755893745,77.4926891822,77.6476745605,7271000
1999-02-25,77.2021119432,77.6670682009,76.0590944766,76.9115142822,11633000
1999-02-26,77.3377280189,77.3958475540,76.1365909605,76.6015472412,9621300
1999-03-01,76.6596432218,77.0664798424,75.8653431530,76.8146286011,7607200
1999-03-02,77.1827251871,77.6864277109,75.8266030076,76.1365737915,9651500
1999-03-03,76.3109483770,76.6015460479,75.4972748985,76.5434265137,7881400
1999-03-04,76.9114937338,77.7929730700,76.4174778420,77.5120620728,8256400
1999-03-05,79.0425649893,79.4300285432,78.4613696585,79.0716247559,10703100
1999-03-08,79.5268643146,79.8465216255,78.8875496928,79.5849838257,4802200
1999-03-09,79.4300045834,80.5536485507,79.1975265212,79.3912582397,7893400
1999-03-10,79.6431315237,80.1274609540,79.2169216250,80.0887145996,3950000
1999-03-11,80.3986708171,81.3285831543,79.8949683011,80.9798660278,6583700
1999-03-12,81.2123535746,81.2317267505,80.1080825456,80.2049484253,5286500
1999-03-15,80.5536536998,81.3673269695,80.2824292765,81.3479537964,5394400
