Date,Open,High,Low,Close,Volume
1998-12-22,5.6839201867,5.6967415810,5.6753729383,5.6967415810,3800
1998-12-23,5.7352036041,5.7822139914,5.7352036041,5.7565722466,1400
1998-12-24,5.8249499838,5.8890538216,5.7993082400,5.8890538216,3000
1998-12-28,5.8805105452,5.8805105452,5.8292270230,5.8377742767,5000
1998-12-29,5.9446134567,5.9446134567,5.9446134567,5.9446134567,200
1998-12-30,5.9403387210,5.9403387210,5.9275183678,5.9275183678,1600
1998-12-31,5.9788032660,6.0172653781,5.9788032660,5.9958977699,6600
1999-01-04,6.0001706953,6.0856432123,5.9232454300,5.9232454300,26000
1999-01-05,5.9788016492,6.0984631443,5.9788016492,6.0685472488,8800
1999-01-06,6.1070075103,6.1753854752,6.0770916290,6.1753854752,25800
1999-01-07,6.1454724135,6.3976167964,6.1070103123,6.1283779144,172400
1999-01-08,6.1839333762,6.3377838135,6.1839333762,6.3377838135,50400
1999-01-11,6.3420620491,6.3506093025,6.2907785285,6.3506093025,28400
1999-01-12,6.2950472941,6.3249621339,6.1753858483,6.1882061958,10200
1999-01-13,6.0044442325,6.1198315971,6.0044442325,6.0514535904,11000
1999-01-14,6.0685464431,6.0770936917,5.8976014729,5.9488849640,254600
1999-01-15,6.0172623216,6.0386309624,5.9873474767,6.0386309624,31600
1999-01-19,6.0172639706,6.0172639706,5.8847821180,5.9275183678,53400
1999-01-20,5.9275185113,5.9702547621,5.9018767608,5.9061498642,81800
1999-01-21,5.9061520904,5.9146993437,5.8505954650,5.8805103302,119800
1999-01-22,5.8206751825,5.8420438216,5.7565713520,5.7651185989,14000
1999-01-25,5.8249537049,5.8805103302,5.8035850497,5.8805103302,58600
1999-01-26,5.8591373718,5.8634104729,5.7950325082,5.8634104729,3600
1999-01-27,5.9702533795,5.9702533795,5.8164029121,5.8164029121,30200
1999-01-28,5.8505926637,5.8505926637,5.7437515259,5.7437515259,13600
1999-01-29,5.7309273032,5.7736635208,5.7309273032,5.7736635208,800
1999-02-01,5.8206772804,5.8805080307,5.8206772804,5.8206772804,5800
1999-02-02,5.7993051502,5.8463144671,5.7950310069,5.8249468803,5600
1999-02-03,5.8292241096,5.8505927549,5.8121296108,5.8292241096,2200
1999-02-04,5.8420442869,6.0215364875,5.8420442869,6.0001678467,13600
1999-02-05,6.0300863686,6.1369264891,6.0300863686,6.0813698769,88800
1999-02-08,6.0984639917,6.1155584933,6.0258118379,6.0514535904,44600
1999-02-09,6.0514525416,6.0514525416,5.9360651970,5.9360651970,28400
1999-02-10,5.9788008555,5.9788008555,5.9232432185,5.9488849640,9800
1999-02-11,5.9146955653,5.9702531986,5.8890538216,5.8890538216,20200
1999-02-12,5.8976015395,5.9146960367,5.8591394424,5.8591394424,5000
1999-02-16,5.9702521100,5.9702521100,5.8035802841,5.8035802841,12600
1999-02-17,5.7779405231,5.8591399130,5.7437515259,5.7437515259,10200
1999-02-18,5.7565713064,5.7950333957,5.7223823188,5.7864861488,62000
1999-02-19,5.8078576782,5.8420466828,5.7950362798,5.8334994316,16200
1999-02-22,5.8121298095,5.9488858050,5.8121298095,5.9317913055,20000
1999-02-23,5.9446152523,5.9488883573,5.8463213167,5.8805103302,10600
1999-02-24,5.9659774199,5.9659774199,5.8634104729,5.8634104729,5600
1999-02-25,5.8292214905,5.8634104729,5.8121269993,5.8634104729,13600
