Date,Open,High,Low,Close,Volume
1998-12-22,5.7070276156,5.7261535102,5.6764269313,5.6955528259,30400
1998-12-23,5.7146766713,5.8141288757,5.7070265017,5.8141288757,135600
1998-12-24,5.8294341526,5.8294341526,5.7758829203,5.7835330963,24600
1998-12-28,5.8141315491,5.8141315491,5.7146792989,5.7529301643,27000
1998-12-29,5.7682329732,5.8103094101,5.7146817387,5.8103094101,44000
1998-12-30,5.8064800711,5.8064800711,5.7185035673,5.7223281860,43600
1998-12-31,5.7146768570,5.7146768570,5.6840761777,5.7146768570,26000
1999-01-04,5.6993802317,5.8141328538,5.6993802317,5.7108559608,57200
1999-01-05,5.7452799868,5.7452799868,5.6726038095,5.6802539825,85400
1999-01-06,5.7452806276,5.8753335846,5.7070297579,5.8676834106,112800
1999-01-07,5.8676803173,5.8715058691,5.7720536604,5.8409051895,145200
1999-01-08,5.8753335846,6.0130367155,5.7223301058,5.8676834106,842200
1999-01-11,5.8141306980,5.8217808700,5.7376289783,5.7567548752,70000
1999-01-12,5.7529288741,5.7758793882,5.6611268176,5.6687769890,178400
1999-01-13,5.5693244255,5.6764268183,5.5540240836,5.5846247673,84800
1999-01-14,5.5693249090,5.5999255953,5.4775228500,5.4775228500,140000
1999-01-15,5.5234270529,5.5693281087,5.4966519039,5.5616779327,21400
1999-01-19,5.5846284607,5.5846284607,5.5157768769,5.5616779327,25600
1999-01-20,5.5310745947,5.5846258010,5.5119496308,5.5157742500,31600
1999-01-21,5.5157768769,5.6075789886,5.5081267009,5.5616779327,47800
1999-01-22,5.5693263454,5.5846266925,5.5234253040,5.5310754776,38600
1999-01-25,5.5540257953,5.5540257953,5.4775240626,5.5234251022,36400
1999-01-26,5.5310762559,5.5310762559,5.4239738111,5.4698748589,51400
1999-01-27,5.4775243172,5.4775243172,5.3551215392,5.3704218864,74200
1999-01-28,5.3857209389,5.3857209389,5.2939188774,5.3398199081,61600
1999-01-29,5.3092192210,5.3398199081,5.2480178467,5.3398199081,37200
1999-02-01,5.3398203953,5.3551207403,5.2862691879,5.2862691879,46200
1999-02-02,5.2939190865,5.3398201190,5.2709685702,5.2939190865,53000
1999-02-03,5.3245187533,5.4469214833,5.3245187533,5.4163208008,58800
1999-02-04,5.4163211410,5.4622221676,5.4010207988,5.4469218254,52000
1999-02-05,5.4622228966,5.6152263391,5.4316222081,5.5999259949,132000
1999-02-08,5.6228761628,5.6764273643,5.6152259911,5.6764273643,62200
1999-02-09,5.6840770585,5.6840770585,5.5693244934,5.5693244934,128600
1999-02-10,5.5922749382,5.6458261346,5.5540240836,5.5846247673,138600
1999-02-11,5.5616758956,5.5616758956,5.4545734712,5.5387253761,433600
1999-02-12,5.4775252618,5.5387266614,5.4239740372,5.4239740372,484600
1999-02-16,5.4660489653,5.4928241033,5.3321704736,5.3857216835,73200
1999-02-17,5.3551205262,5.4086717314,5.3245198374,5.3321700096,83400
1999-02-18,5.3245192925,5.3780704923,5.2709680927,5.3474698067,166000
1999-02-19,5.3704214233,5.3780715963,5.2709691747,5.3168702126,260600
1999-02-22,5.3551215392,5.3857222337,5.3092204974,5.3704218864,159000
1999-02-23,5.3857214917,5.4086720094,5.3245201111,5.3245201111,619200
1999-02-24,5.3398232054,5.4086747940,5.3015723228,5.3015723228,69000
