Date,Open,High,Low,Close,Volume
1998-12-22,11.1915900781,11.1915900781,11.0722926877,11.1244850159,55887
1998-12-23,11.0797447391,11.2885150909,11.0797447391,11.2885150909,78784
1998-12-24,11.2885216093,11.3630819321,11.2512408877,11.3630819321,43824
1998-12-28,11.3556200881,11.3556200881,11.1841304200,11.2139558792,51948
1998-12-29,11.2288718882,11.3332576752,11.0946617507,11.3332576752,100819
1998-12-30,11.2736023627,11.3481637629,11.2139548112,11.2885150909,154614
1998-12-31,11.2885231551,11.3034347735,11.1841373444,11.1841373444,65366
1999-01-04,11.0499282968,11.3705398575,11.0499282968,11.1841373444,250632
1999-01-05,11.1393934110,11.3034266987,11.1393934110,11.2885150909,47763
1999-01-06,11.4972892133,11.6613236752,11.4227289091,11.6464109421,129871
1999-01-07,11.5271139689,11.8253574371,11.4972896221,11.8253574371,89986
1999-01-08,11.9595654990,11.9595654990,11.7731630833,11.8999156952,173694
1999-01-11,11.9148316823,11.9148316823,11.6091318163,11.7209739685,62904
1999-01-12,11.6613284382,11.6613284382,11.3929080963,11.3929080963,117437
1999-01-13,10.8411530045,11.3929028103,10.8411530045,11.2437810898,359206
1999-01-14,11.2139625314,11.2959792317,10.8560691328,10.9604549408,59950
1999-01-15,11.1095710758,11.2736043930,11.0573787585,11.2736043930,96757
1999-01-19,11.4525494694,11.4525494694,11.0648330647,11.2139558792,54903
1999-01-20,11.3332525719,11.4749178929,11.2288668319,11.2959718704,76445
1999-01-21,11.1990446113,11.2512369310,11.0648345089,11.0946588516,438482
1999-01-22,11.0350122075,11.0946609039,10.9604518971,11.0201005936,109928
1999-01-25,11.0797509190,11.1244868877,10.9455407720,11.1095752716,169632
1999-01-26,11.1543079927,11.1766770910,11.0350106170,11.1170272827,118053
1999-01-27,11.1841312578,11.1841312578,10.9753608704,10.9753608704,56872
1999-01-28,10.9455341184,11.1543044598,10.9455341184,11.1393928528,47270
1999-01-29,11.2065057278,11.3929071085,11.0499275821,11.3779954910,72998
1999-02-01,11.4227333231,11.4227333231,11.1841373444,11.1841373444,59827
1999-02-02,11.0946618064,11.1543105077,10.9529964209,11.0648374557,107220
1999-02-03,11.0051852456,11.2288683644,10.9231685875,11.1468505859,69675
1999-02-04,11.0648351195,11.1244838082,10.8858890533,10.8858890533,48625
1999-02-05,10.8635184604,10.9157107704,10.7218531389,10.7964134216,103035
1999-02-08,10.8709787575,10.8858903713,10.6920326697,10.7665929794,137749
1999-02-09,10.7665915071,10.7964158510,10.5429094881,10.6174697876,264050
1999-02-10,10.6472986138,10.7069473267,10.5280011880,10.7069473267,31883
1999-02-11,10.7516765044,11.1543044598,10.7516765044,11.1393928528,81000
1999-02-12,11.0797466243,11.1393953064,10.8560635061,10.9753608704,106974
1999-02-16,11.0872005475,11.2139542492,11.0648314564,11.1393928528,463102
1999-02-17,11.1841373444,11.4078205842,11.0797526541,11.1841373444,501140
1999-02-18,11.2437784402,11.3630757885,11.1543054290,11.2959718704,69428
1999-02-19,11.3779936407,11.5420281287,11.3108885720,11.3332576752,76322
1999-02-22,11.4227250472,11.7433363757,11.4227250472,11.6613197327,89617
1999-02-23,11.7433380463,11.8551790409,11.6464086615,11.8104419708,121623
1999-02-24,11.8551849370,11.8700976746,11.3779952609,11.4227323532,251986
1999-02-25,11.2587010057,11.4078228214,11.1095791901,11.3481740952,173448
1999-02-26,11.3481677462,11.5867625178,11.2959754200,11.5569381714,116822
1999-03-01,11.5122021613,11.6836918726,11.4674650817,11.6016740799,211486
1999-03-02,11.6911506956,11.7955364999,11.5569416563,11.6315031052,91463
1999-03-03,11.6911458743,11.7060586061,11.4600074950,11.5196561813,57365
1999-03-04,11.5569413365,11.8104477906,11.5569413365,11.7806234360,50348
1999-03-05,12.2279856663,12.2279856663,11.9148305821,12.0788650513,498432
1999-03-08,12.0788686197,12.1086929756,11.9372020889,11.9968519211,133564
1999-03-09,12.0192114835,12.2056149951,11.9297395906,12.0937728882,105374
1999-03-10,12.2056228166,12.3249202441,12.1086933766,12.3174638748,91217
1999-03-11,12.3472918377,12.5113252883,12.2578187409,12.3771162033,210993
1999-03-12,12.4218468969,12.4964083393,12.3025494854,12.3994789124,183911
1999-03-15,12.4069327409,12.4964057813,12.3323713138,12.4367570877,82969
1999-03-16,12.5560550272,12.5560550272,12.2578115463,12.2578115463,188466
1999-03-17,12.1981670829,12.1981670829,12.0341325513,12.1534299850,161261
1999-03-18,12.0639521928,12.4367570877,12.0639521928,12.4367570877,199422
1999-03-19,12.4697723590,12.4697723590,12.1856883567,12.2006406784,244723
1999-03-22,12.1707370507,12.2753988083,12.1258812093,12.2305440903,427280
1999-03-23,12.0660739382,12.1109297788,11.7819910673,11.8118934631,288793
1999-03-24,11.8418017123,11.9016098980,11.7221875876,11.7819957733,144396
1999-03-25,12.2006423634,12.2006423634,11.9315095223,12.0511236191,77184
1999-03-26,11.9688842622,12.0511186389,11.8941260443,11.9464569092,65120
1999-03-29,12.1258789804,12.2604442331,12.0959754661,12.2155895233,75583
1999-03-30,12.1258820604,12.1557855823,12.0137441342,12.0735511780,141565
1999-03-31,12.0810248591,12.1707354064,11.8866514450,11.9315061569,112637
1999-04-01,11.9016015945,11.9763598086,11.8417934505,11.9614086151,52933
1999-04-05,12.1258813166,12.2454953968,12.0361707564,12.2006406784,92941
1999-04-06,12.1707317342,12.3127731104,12.0660688990,12.1109247208,142427
1999-04-07,12.2230718724,12.4996798006,12.2155957092,12.4398727417,324738
1999-04-08,12.5594855962,12.6940520268,12.5295820698,12.6641473770,194498
1999-04-09,12.6192899059,12.7090004657,12.4996758261,12.6342411041,151167
1999-04-12,12.5594815257,12.8734678898,12.5445292056,12.8585166931,193759
1999-04-13,13.0080348988,13.0080348988,12.8136614690,12.8435649872,209516
1999-04-14,12.9183272827,13.0229901819,12.6790990829,12.6790990829,160646
1999-04-15,12.7538558563,13.2173610014,12.4847241627,12.5594835281,124577
1999-04-16,12.6192936809,12.6192936809,12.3950166527,12.4996795654,125070
1999-04-19,12.7314316334,12.9332801725,12.4996795654,12.4996795654,149443
1999-04-20,12.5744367977,13.0977490720,12.5594855962,12.6641473770,67213
1999-04-21,12.6790955927,12.8585166931,12.6641432726,12.8585166931,85185
1999-04-22,12.8286132650,12.9930820465,12.8286132650,12.9930820465,74476
1999-04-23,13.0678419553,13.0678419553,12.8585173277,12.9482278824,159045
1999-04-26,12.9631852000,12.9631852000,12.6940545323,12.7538604736,184404
1999-04-27,12.8659839284,13.0304525947,12.7538449758,12.9781217575,72998
1999-04-28,12.9930783518,13.0528853687,12.8286096171,12.9033689499,189328
1999-04-29,12.9033731668,13.0977454735,12.8884208459,12.9482278824,104512
1999-04-30,12.9482304636,13.0080375120,12.5445323255,12.7688093185,417801
1999-05-03,12.7239491602,12.9183225632,12.6641421321,12.9183225632,257895
1999-05-04,12.8286169437,12.8884239948,12.5146293640,12.5146293640,368685
1999-05-05,12.5295779992,12.6192885494,12.3501568989,12.5893850327,267373
1999-05-06,12.4548232219,12.5744373327,12.3202579089,12.3800649643,211486
1999-05-07,12.5445328837,12.6940516347,12.5146293582,12.6192922592,787963
1999-05-10,12.7089977925,12.7538525012,12.5445279057,12.5744314194,53918
1999-05-11,12.6790947220,12.8884193249,12.6641424030,12.7239494324,70536
1999-05-12,12.6940443908,12.9183201424,12.5445257251,12.9033689499,51087
1999-05-13,12.9183225972,13.0528878491,12.9108464378,13.0229854584,61181
1999-05-14,12.7090028357,12.7837610878,12.4697746317,12.6192922592,197083
1999-05-17,12.4398720197,12.5146302773,12.2454985279,12.3800649643,235613
1999-05-18,12.4697763893,12.5744381816,12.2155958249,12.4099693298,166062
1999-05-19,12.4398725077,12.4996795654,12.3352095949,12.4996795654,85924
1999-05-20,12.4847245982,12.5744351659,12.3352069855,12.3352069855,180465
1999-05-21,12.3052997589,12.3800591045,12.2081130590,12.3052997589,95772
1999-05-24,12.1258805604,12.1856875968,11.9016047356,12.0361700058,534870
1999-05-25,11.9614086187,12.0361668328,11.7221794128,11.7221794128,105497
1999-05-26,11.7819873715,12.1034498215,11.6623733321,12.1034498215,236106
1999-05-27,11.9987907391,11.9987907391,11.7595625853,11.8118934631,53549
1999-05-28,11.9016070379,12.0361723341,11.8193715044,11.9987926483,47394
1999-06-01,11.9315069192,11.9913150779,11.6922799013,11.8268451691,256417
1999-06-02,11.7670397459,11.8417979887,11.5577150936,11.7520885468,126178
1999-06-03,11.9016035687,11.9016035687,11.7072301578,11.7446098328,87155
1999-06-04,11.8866492777,12.0062633189,11.8118899402,11.9614086151,91340
1999-06-07,12.0361741905,12.2006441595,11.9913194593,12.1856918335,60319
1999-06-08,12.1557836382,12.1557836382,11.9688863754,11.9688863754,233767
1999-06-09,12.0062680766,12.1184071272,11.8941301494,11.9389848709,41977
1999-06-10,11.7969427285,11.7969427285,11.6324728046,11.7147083282,121623
1999-06-11,11.7371311188,11.9016009786,11.6474205925,11.7371311188,100942
1999-06-14,11.7819919502,11.7819919502,11.6324732195,11.6773290634,35207
1999-06-15,11.7520834348,11.8268416450,11.6922764173,11.7371311188,152890
1999-06-16,12.0212204053,12.1483095320,12.0062680826,12.0436477661,228966
1999-06-17,12.0959762040,12.3202531366,12.0212179754,12.2753973007,192898
1999-06-18,12.2045086092,12.3244545954,12.1970117034,12.2944669724,66351
