Date,Open,High,Low,Close,Volume
1998-12-22,14.3483603177,14.3966712952,14.3483603177,14.3966712952,600
1998-12-23,14.5029533645,14.6865350527,14.5029533645,14.6478862762,900
1998-12-24,14.7831741907,14.8508096281,14.7348631639,14.8411474228,1400
1998-12-28,14.8411346594,14.9280944328,14.8411346594,14.9184322357,7400
1998-12-29,14.9957363767,15.1310071945,14.9957363767,15.1310071945,1400
1998-12-30,15.1213477375,15.1213477375,15.0247257072,15.0633745193,2800
1998-12-31,15.0633686511,15.1889772415,15.0343820533,15.1889772415,33100
1999-01-04,15.2083046476,15.3628998664,14.9764118195,14.9764118195,6400
1999-01-05,15.1310035715,15.3145853518,15.0633681788,15.2855987549,2000
1999-01-06,15.4305320240,15.6624248034,15.4305320240,15.6141138077,13500
1999-01-07,15.4981728624,15.5368216725,15.3629020269,15.4788484573,13100
1999-01-08,15.4402047043,15.6141244068,15.3532448530,15.5947999954,11000
1999-01-11,15.5561428714,15.5561428714,15.3822232617,15.4498586655,2200
1999-01-12,15.3725576811,15.4112064748,15.2179625065,15.2662734985,6500
1999-01-13,14.8604649507,15.0633711691,14.8411405489,14.8797893524,1700
1999-01-14,14.8411375520,14.9764083370,14.8121509552,14.8121509552,4100
1999-01-15,14.8894548649,15.1020233315,14.8894548649,15.0633745193,4900
1999-01-19,15.1986344314,15.1986344314,14.9087685491,15.0343770981,10100
1999-01-20,15.0730343616,15.1503319737,14.9667501450,14.9667501450,1700
1999-01-21,14.9281072710,14.9281072710,14.8314852174,14.8411474228,2500
1999-01-22,14.6285709467,14.6865441473,14.5512733459,14.5512733459,8700
1999-01-25,14.6189146104,14.7928342819,14.5995902025,14.7928342819,4600
1999-01-26,14.7928342819,14.7928342819,14.7928342819,14.7928342819,0
1999-01-27,14.9667514046,14.9667514046,14.9087781906,14.9087781906,500
1999-01-28,14.8604670775,14.9570891001,14.8121560662,14.9281024933,1900
1999-01-29,14.9860771014,15.0923613361,14.8121574445,15.0247259140,109200
1999-02-01,15.1503277278,15.1503277278,15.0440435410,15.0440435410,2400
1999-02-02,14.9377646955,14.9570891001,14.7541828526,14.9281024933,20700
1999-02-03,14.9280974865,15.0730304718,14.9280974865,15.0730304718,20100
1999-02-04,15.0537078811,15.1020188820,14.9957346800,15.0923566818,6100
1999-02-05,15.1406655290,15.1406655290,15.0247191433,15.0440435410,4300
1999-02-08,15.1503298829,15.1503298829,14.9280992788,15.0923566818,2900
1999-02-09,15.0633677421,15.0633677421,14.8894481659,14.8894481659,4100
1999-02-10,14.9474296570,14.9474296570,14.8701320246,14.9474296570,5400
1999-02-11,15.0440406550,15.1503248215,15.0440406550,15.1503248215,3500
1999-02-12,15.0826989254,15.0826989254,15.0343879103,15.0633745193,2600
1999-02-16,15.1599837220,15.1696459168,15.1309971374,15.1406593323,3800
1999-02-17,15.0150507992,15.3049166448,15.0150507992,15.1406593323,5400
1999-02-18,15.0440373838,15.1696459168,15.0053886044,15.1406593323,4300
1999-02-19,15.0730367454,15.2566186032,15.0730367454,15.2372941971,2800
1999-02-22,15.2469476572,15.4691781998,15.2469476572,15.4691781998,6400
1999-02-23,15.4208734417,15.4885088515,15.3725624347,15.4595222473,5400
1999-02-24,15.5561435013,15.5658057023,15.3822238846,15.4208726883,5300
1999-02-25,15.1986455814,15.1986455814,15.0150637212,15.1116857529,3200
1999-02-26,15.1889778633,15.2469510613,15.0730314674,15.1599912643,3400
1999-03-01,15.1310004276,15.1503248215,15.0343784580,15.1503248215,3200
1999-03-02,15.1889833677,15.2179699772,15.0247259140,15.0247259140,47600
1999-03-03,15.1406626751,15.1406626751,14.9087699474,14.9377565384,13600
1999-03-04,15.0537081479,15.2276277542,15.0537081479,15.2276277542,15700
1999-03-05,15.4885106759,15.5658082962,15.4885106759,15.5658082962,5200
1999-03-08,15.6237777198,15.6527643204,15.5754667188,15.6527643204,1800
1999-03-09,15.6527734213,15.7783820969,15.6431112155,15.7300710678,1800
1999-03-10,15.6720918086,15.7493894254,15.6044563939,15.7010784149,2700
1999-03-11,15.7107376563,15.8943194616,15.7107376563,15.7203998566,1800
1999-03-12,15.7397273446,15.7977005576,15.7397273446,15.7687139511,2200
1999-03-15,15.7590576853,15.8170309202,15.7300710678,15.7300710678,1900
1999-03-16,15.7590539610,15.7687161646,15.6237831116,15.6237831116,4800
1999-03-17,15.6527732296,15.7397330809,15.5754755840,15.5947999954,1900
1999-03-18,15.5658008177,15.6334362030,15.5271520261,15.6334362030,3900
1999-03-19,15.7111838067,15.7790716379,15.6820890218,15.7305803299,9100
1999-03-22,15.6626871150,15.7305749230,15.6044975654,15.6141958237,9900
1999-03-23,15.6141955434,15.6141955434,15.2456617355,15.2456617355,4900
1999-03-24,15.2456698077,15.8760569181,15.1680837018,15.2068767548,4800
1999-03-25,15.2844560112,15.4687229301,15.2747577523,15.3717403412,6500
1999-03-26,15.2553579812,15.4299266040,15.2553579812,15.4105300903,3100
1999-03-29,15.5948080388,15.6626958847,15.5948080388,15.6626958847,3000
1999-03-30,15.5560172269,15.6723964081,15.5560172269,15.6529998779,3500
1999-03-31,15.5560139917,15.5851087809,15.4784278870,15.4784278870,21700
1999-04-01,15.4978157015,15.6432895660,15.4978157015,15.6432895660,3500
1999-04-05,15.7596699676,15.9827299118,15.7499717092,15.9827299118,7700
1999-04-06,15.9245482428,15.9342465060,15.8275656104,15.8954534531,2700
1999-04-07,15.9633392899,15.9924340759,15.8081670975,15.9245462418,24400
1999-04-08,15.8857481949,16.0409203384,15.8469551590,16.0118255615,24800
1999-04-09,16.0215301514,16.0409266770,15.9342457861,16.0215301514,1200
1999-04-12,16.0215314320,16.4094619751,16.0021349048,16.4094619751,11500
1999-04-13,16.3900599997,16.5355339050,16.3706634790,16.5355339050,1100
1999-04-14,16.6131214575,17.0398449509,16.6034231963,16.8943710327,25500
1999-04-15,17.0689346834,17.4083737254,17.0495381667,17.3307876587,61700
1999-04-16,17.3792869300,17.4956660836,17.2241147253,17.4277782440,173300
1999-04-19,17.6217353865,18.1939326280,17.4956580282,17.5732440948,292800
1999-04-20,17.6702289285,17.6702289285,17.2822985458,17.4568672180,102300
1999-04-21,17.4956639016,17.5441552096,17.3404917163,17.5150604248,58100
1999-04-22,17.4471712983,18.1357478198,17.4471712983,17.5247573853,56200
1999-04-23,17.3792805721,17.6605300903,17.3792805721,17.6605300903,109800
1999-04-26,17.7187184234,17.7672097163,17.6411323547,17.6411323547,64900
1999-04-27,17.8544976445,17.8641959051,17.6896272154,17.7284202576,160800
1999-04-28,17.7381172417,18.0387632967,17.7381172417,17.9514789581,27200
1999-04-29,18.0872512095,18.1357424996,17.8544930170,18.0193634033,85400
1999-04-30,18.0387617872,18.0387617872,17.6217366491,17.8060035706,63200
1999-05-03,17.7381148073,18.1551399231,17.7381148073,18.1551399231,26700
1999-05-04,18.1551504744,18.3491157572,18.1163574178,18.2327365875,333200
1999-05-05,18.1842452668,18.2812279082,18.0290730405,18.2327365875,70000
1999-05-06,18.1551452928,18.2715244293,18.0678609405,18.2715244293,108700
1999-05-07,18.3491057197,18.6206569672,18.3297092021,18.6206569672,119300
1999-05-10,18.4654861660,18.5915635400,18.3685035706,18.3685035706,24900
1999-05-11,18.5818675666,18.7079449562,18.4945832200,18.6788501740,83400
1999-05-12,18.6206585985,18.6206585985,18.4169951450,18.4945812225,50900
1999-05-13,18.4169988713,18.4945849645,18.2521284233,18.3103179932,32400
1999-05-14,18.0775566101,18.3103148497,18.0193670502,18.0775566101,34400
1999-05-17,18.0484593976,18.0581576563,17.8932872588,18.0387611389,22600
1999-05-18,17.8738913837,17.9514774559,17.5926418720,17.8060035706,19500
1999-05-19,17.9029879304,18.0969531301,17.9029879304,18.0775566101,74300
1999-05-20,18.1745307824,18.2424185708,17.5344459203,18.1260395050,11100
1999-05-21,18.0581612104,18.0581612104,17.8738942593,17.9126873016,90600
1999-05-24,17.9514801634,18.1260488522,17.7575149536,17.7575149536,14900
1999-05-25,17.9029948216,17.9223913491,17.6993312836,17.6993312836,17600
1999-05-26,17.5926406115,17.6411319032,17.4956580282,17.5732440948,77400
1999-05-27,17.4956530347,17.4956530347,17.1659123456,17.2822914124,719300
1999-05-28,17.3210915841,17.5247550350,17.3210915841,17.4568672180,2200
1999-06-01,17.4568678259,17.6896260636,17.3113939274,17.4665660858,11800
1999-06-02,17.8060121845,17.8060121845,17.6217451738,17.6993312836,22800
1999-06-03,17.6993294290,17.9126912084,17.6993294290,17.8835964203,17900
1999-06-04,17.9805734054,18.0678577423,17.9805734054,18.0678577423,4600
1999-06-07,18.2230274945,18.2618205280,18.1939327193,18.2424240112,10800
1999-06-08,18.2133322499,18.2133322499,18.0775566101,18.0775566101,24900
1999-06-09,18.1454552112,18.1939465399,18.0581708195,18.0969638824,8500
1999-06-10,17.9417859965,17.9514842592,17.7963120560,17.8835964203,46400
1999-06-11,17.9611711020,18.0484554108,17.8544902802,17.8544902802,2100
1999-06-14,17.9999699247,18.0969525213,17.9999699247,18.0678577423,14400
1999-06-15,18.0775482276,18.1648325270,18.0775482276,18.1260395050,4400
1999-06-16,18.2812217370,18.4460921718,18.2812217370,18.3782043457,183200
1999-06-17,18.2909158038,18.5333722699,18.2909158038,18.5236740112,11000
1999-06-18,18.5861314720,18.6638164520,18.5278677370,18.6638164520,1000
1999-06-21,18.6443956592,18.6443956592,18.3724982225,18.4113407135,4400
1999-06-22,18.4501879419,18.4987410680,18.3239498138,18.3239498138,33000
1999-06-23,18.3336642709,18.3822174072,18.1491623529,18.3822174072,29500
1999-06-24,18.3433677940,18.3433677940,18.0132065950,18.1879978180,34000
1999-06-25,18.1782906406,18.2074225167,18.0617631365,18.0811843872,2800
1999-06-28,18.1880022371,18.2171341147,18.1103172302,18.1103172302,3600
