Date,Open,High,Low,Close,Volume
1998-12-22,13.5620661142,13.9060315591,13.5620661142,13.8896522522,150300
1998-12-23,14.0452561985,15.0935318798,13.9879286222,14.2254285812,44000
1998-12-24,14.2254261195,14.2254261195,14.1517192484,14.2008571625,45500
1998-12-28,14.2254277808,14.2336174341,14.0534450615,14.1189622879,25400
1998-12-29,14.1271556682,14.4465522311,13.6193970297,14.4301729202,123500
1998-12-30,14.4301750678,14.4711233512,14.3155198743,14.3400888443,10200
1998-12-31,14.3073246641,14.3728418921,14.1926695151,14.2336177826,66300
1999-01-04,14.3482725803,14.4629277265,14.0124967950,14.1189622879,50000
1999-01-05,14.2008596200,14.2991354651,14.1599113512,14.2254285812,27900
1999-01-06,14.3237006672,14.4055971833,14.2336144995,14.3974075317,118500
1999-01-07,14.2909453571,14.2909453571,14.1271522871,14.2336177826,43500
1999-01-08,14.2336209604,14.2418106157,13.9551726792,14.1762933731,63800
1999-01-11,14.1435315092,14.1435315092,13.7995660642,13.8896522522,65400
1999-01-12,13.8814656365,13.9306035679,13.7586208078,13.7831897736,29400
1999-01-13,13.3900859263,13.8814652263,13.3900859263,13.8077583313,73800
1999-01-14,13.7504348334,13.7995727780,13.3573312765,13.5456933975,30800
1999-01-15,13.6603413632,13.7422378942,13.5374965668,13.6930999756,39000
1999-01-19,13.7995625494,13.7995625494,13.4474075407,13.5374937057,39200
1999-01-20,13.6193927453,13.7258582328,13.5129272578,13.5784444809,480500
1999-01-21,13.5211186815,13.5948255671,13.2918083707,13.3737049103,42500
1999-01-22,13.2918043671,13.4555973969,13.2180975037,13.3081836700,75700
1999-01-25,13.3081883431,13.3573262693,13.1607745645,13.2754297256,179000
1999-01-26,13.2836184004,13.5866355896,13.2590494392,13.5866355896,85000
1999-01-27,13.7176724859,13.8487069693,13.6767242098,13.7668104172,50400
1999-01-28,13.7831894676,14.0452584295,13.7668101574,14.0124998093,57300
1999-01-29,14.0534472229,14.1435334231,13.8568955135,14.0452575684,167800
1999-02-01,14.1435289165,14.1926668282,13.9797358775,13.9879255295,57200
1999-02-02,14.0370647561,14.1025819778,13.9060303126,14.1025819778,81800
1999-02-03,14.0370769868,14.1025942656,13.9142320890,14.0534563065,65300
1999-02-04,13.9961151814,14.1025806568,13.9224083139,13.9879255295,34400
1999-02-05,13.9879287103,13.9879287103,13.7586184036,13.7749977112,33000
1999-02-08,13.7422404525,13.8241369987,13.6357749424,13.7504301071,83500
1999-02-09,13.7176688329,13.7176688329,13.4801688949,13.5047378540,44500
1999-02-10,13.5702534767,13.6030120850,13.4310293915,13.6030120850,32000
1999-02-11,13.6521516606,13.8405136811,13.6112033952,13.8323240280,22400
1999-02-12,13.8568974486,13.8978457272,13.6193974333,13.7176733017,29600
1999-02-16,13.8896546130,13.9797408163,13.8405166840,13.8814649582,37700
1999-02-17,13.8732763468,14.0043108341,13.6439659939,13.7422418594,26800
1999-02-18,13.7913764108,13.9306005195,13.7668074504,13.8896522522,29400
1999-02-19,13.8650826403,13.9551688240,13.8077550688,13.8323240280,30300
1999-02-22,13.8896543641,14.2172405519,13.8487060906,14.1271543503,183700
1999-02-23,14.1435302414,14.2336164213,14.0370647561,14.1025819778,35400
1999-02-24,14.2008556206,14.2909417865,13.9387867740,14.0206832886,69000
1999-02-25,13.8814672764,13.9551741823,13.6685362150,13.8568983078,28100
1999-02-26,13.8241374207,13.9387925889,13.7422408720,13.8978443146,15100
1999-03-01,13.8487033341,13.8978412525,13.7094792320,13.8323240280,17500
1999-03-02,13.9060302981,13.9961164779,13.7668062021,13.7913751602,29700
1999-03-03,13.8487027292,13.8487027292,13.6521510642,13.7913751602,32000
1999-03-04,13.8159451689,14.0043071955,13.7422382889,13.9797382355,85300
1999-03-05,13.9879266460,14.2745644872,13.9879266460,14.1926679611,49100
1999-03-08,14.2254248728,14.2581834793,14.0616318403,14.2581834793,30700
1999-03-09,14.2745666504,14.3564631888,14.1517218427,14.2745666504,23300
1999-03-10,14.2172381275,14.2172381275,14.0698243681,14.1189622879,32600
1999-03-11,14.2254248728,14.3564592988,14.1599076598,14.2581834793,55700
1999-03-12,14.3892216438,14.4547388738,14.2827561450,14.3810319901,48100
1999-03-15,14.4629284176,14.6103421841,14.4137904955,14.5038766861,246400
1999-03-16,14.5284477446,14.6512925677,14.5202580897,14.5693960190,63700
1999-03-17,14.5612066224,14.5612066224,14.3155169719,14.3237066269,40900
1999-03-18,14.2663787887,14.5693960190,14.2663787887,14.5693960190,22300
1999-03-19,14.6607533666,14.6607533666,14.3900175742,14.5048751831,174200
1999-03-22,14.4310416026,14.5048786545,14.3243880831,14.4966745377,93400
1999-03-23,14.3325941439,14.4310435599,13.9223882440,14.0864706039,91600
1999-03-24,13.9634151159,14.1028851846,13.9141903857,14.0782728195,46700
1999-03-25,14.2095383974,14.2751713693,14.0536600894,14.1849260330,46000
1999-03-26,14.0536485878,14.1685061945,14.0208321287,14.1356897354,20400
1999-03-29,14.2751634592,14.4228375640,14.2751634592,14.3161840439,18200
1999-03-30,14.0290395759,14.2505507271,14.0290395759,14.1931219101,45800
1999-03-31,14.2997777022,14.2997777022,13.8649594474,13.8813676834,45800
1999-04-01,14.0290389947,14.0290389947,13.8485484345,13.9059772491,38500
1999-04-05,14.0454417126,14.0454417126,13.9305841285,13.9798088074,32900
1999-04-06,13.8731573337,13.9798108200,13.7254832757,13.8239326477,136600
1999-04-07,13.9387972521,13.9387972521,13.7254901723,13.8075313568,77800
1999-04-08,13.8321380848,14.1603026894,13.8321380848,14.1274862289,49100
1999-04-09,14.1603040695,14.2423452287,13.9880176353,14.1603040695,61000
1999-04-12,14.1767108624,14.4638548903,14.1767108624,14.3982219696,28400
1999-04-13,14.5048756293,14.5294879749,14.2751604044,14.4474468231,70200
