Date,Open,High,Low,Close,Volume
1998-12-22,5.8772627328,5.8772627328,5.7952971458,5.7952971458,15800
1998-12-23,5.7892264894,5.7892264894,5.7588687227,5.7710118294,48200
1998-12-24,5.8711910401,5.8894056968,5.8590479355,5.8772625923,47600
1998-12-28,5.8651203678,5.8772634742,5.8377987491,5.8469057083,6200
1998-12-29,5.8711926189,5.9592305210,5.8711926189,5.9440512657,24000
1998-12-30,5.9744060253,5.9895852730,5.8954758644,5.8954758644,140800
1998-12-31,5.8742270470,5.8742270470,5.8347615876,5.8742270470,43200
1999-01-04,5.8317265555,5.8772628287,5.7558317786,5.7801179886,218600
1999-01-05,5.8256564680,5.8499426842,5.8013702519,5.8499426842,222400
1999-01-06,5.8681584271,5.9288739787,5.8681584271,5.9106593132,82000
1999-01-07,5.9106603595,5.9713759218,5.8772664296,5.8894095421,444600
1999-01-08,5.9076208117,5.9288716168,5.8499414313,5.9228000641,271800
1999-01-11,5.8894081960,5.8894081960,5.7436908798,5.7649416924,258000
1999-01-12,5.7588664671,5.8529751366,5.7376156681,5.7679734230,14200
1999-01-13,5.7315478578,5.8499435496,5.7315478578,5.8074426651,51800
1999-01-14,5.7254746664,5.7831547924,5.6829737940,5.7102961540,40000
1999-01-15,5.7315440344,5.7892241384,5.7163655278,5.7376155853,13800
1999-01-19,5.9136939444,5.9319086075,5.8286921834,5.9319086075,24400
1999-01-20,5.9379801089,5.9713740281,5.8833361201,5.9076223373,65400
1999-01-21,5.9501225551,5.9501225551,5.8863716125,5.8863716125,41000
1999-01-22,5.8469044810,5.9683355191,5.8226182734,5.9258346558,41600
1999-01-25,5.9258373932,5.9258373932,5.7042260170,5.7042260170,27200
1999-01-26,5.7679768644,5.8165493011,5.6799396934,5.8165493011,30400
1999-01-27,5.8013728759,5.8013728759,5.7285141945,5.7285141945,15600
1999-01-28,5.7436871362,5.8165457468,5.7376155853,5.7376155853,35200
1999-01-29,5.7376211591,5.7619073862,5.6738701834,5.7285141945,79600
1999-02-01,5.7619040001,5.7619040001,5.6829738083,5.7163677216,24400
1999-02-02,5.6435090361,5.6556521424,5.5676142510,5.6404728889,55400
1999-02-03,5.6101170811,5.6769041893,5.6101170811,5.6708326340,65000
1999-02-04,5.6617240478,5.6617240478,5.5858292580,5.5858292580,36400
1999-02-05,5.6070804188,5.6374381884,5.5888657570,5.5888657570,16200
1999-02-08,5.5919011634,5.6283304869,5.5797580555,5.5888657570,26600
1999-02-09,5.6010084434,5.6647593842,5.5888653364,5.6131515503,24400
1999-02-10,5.6131525517,5.6313672154,5.5706516699,5.5736870766,16000
1999-02-11,5.5888649572,5.6283296815,5.5706502980,5.5979719162,8800
1999-02-12,5.6252979503,5.6252979503,5.4826159898,5.5069022179,206000
1999-02-16,5.5797599942,5.6070823669,5.5645814747,5.6070823669,118600
1999-02-17,5.5919007693,5.6829740718,5.5676145554,5.5676145554,114800
1999-02-18,5.5919003971,5.7436892243,5.5676141847,5.6677951813,28000
1999-02-19,5.6374401471,5.6647617787,5.5858315502,5.6070823669,19200
1999-02-22,5.6283304600,5.7892270088,5.6283304600,5.7892270088,13800
1999-02-23,5.7376204511,5.7376204511,5.5858315502,5.6070823669,30200
1999-02-24,5.6252939455,5.7436888525,5.6252939455,5.6586871147,132000
1999-02-25,5.6222604022,5.6283319577,5.5129724030,5.5372586250,47200
1999-02-26,5.5767245177,5.5767245177,5.4917227343,5.5706529617,22800
1999-03-01,5.5251144572,5.5251144572,5.4552919527,5.4886851311,16800
1999-03-02,5.5251136529,5.5402929072,5.4067187309,5.4067187309,20600
1999-03-03,5.4097533226,5.4431472322,5.4097533226,5.4097533226,9400
1999-03-04,5.4552914924,5.4947562218,5.4401122372,5.4947562218,11400
1999-03-05,5.5858296094,5.5979727173,5.5220786638,5.5888657570,42000
1999-03-08,5.5645809712,5.5645809712,5.4977938609,5.5251154900,78200
1999-03-09,5.5311854465,5.5524362551,5.4765414629,5.5099353790,11600
