Date,Open,High,Low,Close,Volume
1998-12-22,16.5700590107,16.7370117464,16.5700590107,16.7161426544,5700
1998-12-23,16.8204966348,17.0917949677,16.8204966348,17.0917949677,18100
1998-12-24,17.1126619820,17.1961383820,17.0396201321,17.1961383820,4900
1998-12-28,17.1439560305,17.1961287513,16.9456996918,16.9456996918,15500
1998-12-29,16.9457007626,17.3213443756,16.9457007626,17.3213443756,5300
1998-12-30,17.3630919891,17.3839610901,17.1752700806,17.1752700806,17300
1998-12-31,17.2378740265,17.3630886078,17.1961358327,17.3630886078,6600
1999-01-04,17.5300352717,17.6135116301,17.2169989276,17.3213443756,249200
1999-01-05,17.3630780891,17.5926380157,17.3630780891,17.5926380157,4400
1999-01-06,17.7178624486,17.8848152161,17.6761242567,17.8848152161,38500
1999-01-07,17.7178713071,17.8222168389,17.5926566689,17.8013477325,15900
1999-01-08,17.8430747434,18.0204620361,17.8430747434,18.0204620361,24400
1999-01-11,18.0100259103,18.1978477333,17.9056804531,18.0621986389,7700
1999-01-12,18.1143674297,18.1978437773,17.9682838214,17.9891529083,270700
1999-01-13,17.2169972359,17.9474153005,17.2169972359,17.8222007751,7100
1999-01-14,17.8848155358,17.9369882766,17.6135172838,17.6761245728,12200
1999-01-15,17.7387294203,17.9682894481,17.7387294203,17.9161167145,7700
1999-01-19,18.2187191843,18.4691483140,18.1143737136,18.4274101257,22700
1999-01-20,18.5317516327,18.7821807088,18.4274061843,18.5317516327,25800
1999-01-21,18.4900189982,18.4900189982,17.8430770242,17.8848152161,23200
1999-01-22,17.7596043641,17.9474262669,17.6343897622,17.8117771149,67100
1999-01-25,17.8222004360,17.9682840461,17.8222004360,17.9578495026,495300
1999-01-26,17.9891538030,18.0517610668,17.8117665555,18.0413265228,187400
1999-01-27,18.0935089120,18.0935089120,17.8639488220,17.8639488220,6800
1999-01-28,18.0308946382,18.2604546394,18.0308946382,18.1978473663,25800
1999-01-29,18.2187164573,18.2187164573,17.9682873652,18.1978473663,13800
1999-02-01,18.2813159764,18.3439232229,18.1352324013,18.3021850586,34000
1999-02-02,18.0100318569,18.0622046027,17.7804717753,18.0309009552,141700
1999-02-03,17.9891582881,18.3752365112,17.9891582881,18.3752365112,38900
1999-02-04,18.2604645155,18.3230718224,18.1143807994,18.2395954132,7400
1999-02-05,18.2395919385,18.2395919385,17.9056863652,18.0309009552,16900
1999-02-08,18.1143729558,18.1143729558,17.9474202097,18.0204620361,6500
1999-02-09,18.0726346430,18.0935037361,17.6969909668,17.6969909668,220800
1999-02-10,17.5717767289,17.7387294769,17.4883003549,17.7387294769,17800
1999-02-11,17.6761193248,18.2187156677,17.6135120545,18.2187156677,5300
1999-02-12,18.1143786408,18.1143786408,17.8430803432,17.9474258423,8400
1999-02-16,18.0308939850,18.2395848876,18.0308939850,18.1143703461,18500
1999-02-17,18.0726335545,18.1978481057,17.9056808196,17.9265499115,12900
1999-02-18,17.9891561311,18.1665434015,17.8743761326,18.1561088562,11500
1999-02-19,18.1561135453,18.2813281215,18.1561135453,18.2082862854,13900
1999-02-22,18.2813371087,18.6048082561,18.2395988961,18.5943737030,17800
1999-02-23,18.6361025960,18.6361025960,18.3648043499,18.5630607605,15000
1999-02-24,18.6152274487,18.6882692604,18.3439292908,18.3439292908,28000
1999-02-25,18.2604567885,18.2604567885,17.9474203865,18.1665458679,98900
1999-02-26,18.2395847578,18.2708883930,17.9578520413,18.2187156677,10800
1999-03-01,18.1769834355,18.1978525325,17.9682924661,18.1874179840,8800
1999-03-02,18.3021897755,18.4587079321,18.0621952688,18.1769752502,11500
1999-03-03,18.2395859161,18.2395859161,18.0308950018,18.0621986389,13100
1999-03-04,18.3230719377,18.3856792450,18.1874227719,18.3856792450,10400
1999-03-05,18.6569654653,18.8447872653,18.5943581987,18.8030490875,25400
1999-03-08,18.7613177289,18.8239250183,18.6569722465,18.8239250183,62700
1999-03-09,18.5943591049,18.8656572736,18.5734900150,18.6778354645,12200
1999-03-10,18.6569639060,18.8447856903,18.5526184703,18.8447856903,10700
1999-03-11,18.8447942702,19.0743543333,18.8447942702,18.9700088501,23600
1999-03-12,19.0534776945,19.1369540480,18.8656558990,18.8656558990,24600
1999-03-15,18.9908776289,19.0639194659,18.8447939548,18.9282703400,144800
1999-03-16,18.9908734738,18.9908734738,18.8552243775,18.8865280151,9100
1999-03-17,18.8239247004,18.9387047291,18.7091446718,18.7821865082,2700
1999-03-18,18.6778415732,19.0430507660,18.6778415732,19.0430507660,9500
1999-03-19,19.0534789275,19.1369552864,18.8865262096,18.9595680237,6900
1999-03-22,18.9074020386,19.0952239131,18.8865329414,18.9074020386,40900
1999-03-23,18.8656686010,18.8656686010,18.3230719377,18.3856792450,15400
1999-03-24,18.3439321744,18.4691467285,18.2604558050,18.4691467285,12800
1999-03-25,18.6361028353,18.7821865082,18.5317573547,18.7821865082,9700
1999-03-26,18.6465353159,18.7195771443,18.5943625814,18.6361007690,6600
1999-03-29,18.6569650152,18.9178286200,18.6569650152,18.8656558990,8100
1999-03-30,18.8447872653,18.9386981653,18.7613109097,18.8030490875,37300
1999-03-31,18.8656584024,18.8656584024,18.6987056732,18.6987056732,6300
1999-04-01,18.6987056732,18.7508784011,18.4691456705,18.6987056732,22500
1999-04-05,18.9908743113,19.1995652378,18.9908743113,19.1160888672,12400
1999-04-06,19.1995663575,19.2830427330,19.0743517943,19.1369590759,14500
1999-04-07,19.2621816061,19.5960872460,19.2621816061,19.5021762848,15700
1999-04-08,19.4500026056,19.7004318237,19.4291335041,19.7004318237,29600
1999-04-09,19.7004275297,19.7630348206,19.5543438510,19.7630348206,6600
1999-04-12,19.5543383098,20.2638874054,19.5543383098,20.2638874054,87300
1999-04-13,20.3264968824,20.3473659758,20.0551986694,20.0551986694,23600
1999-04-14,20.2012856908,20.2430238844,19.8673801422,19.8673801422,96900
1999-04-15,19.9091203131,19.9091203131,19.2204400507,19.3665237427,17800
1999-04-16,19.3665175080,19.3665175080,19.0534811259,19.1786956787,10400
1999-04-19,19.3247820195,19.4291274948,18.6152327877,18.6569709778,32700
1999-04-20,18.7821816404,19.0117416382,18.6360980054,19.0117416382,15700
1999-04-21,18.9700114737,19.4500007629,18.9700114737,19.4500007629,16000
1999-04-22,19.5334697447,19.9299824852,19.5334697447,19.8465061188,20200
1999-04-23,19.9717123958,20.2951831818,19.9717123958,20.2951831818,9800
1999-04-26,20.3891019517,20.3891019517,20.1595419502,20.2638874054,36200
1999-04-27,20.4204086335,20.4308431806,20.0969376741,20.2847595215,13900
1999-04-28,20.2012866708,20.2012866708,19.7421665192,19.7421665192,25500
1999-04-29,19.7839019939,19.9091165634,19.3873891902,19.5126037598,9800
1999-04-30,19.6586911267,19.7630366210,19.3665237427,19.3665237427,5800
1999-05-03,19.5960828346,19.7630356170,19.5334755412,19.7421665192,13000
1999-05-04,19.8256439176,19.8256439176,19.3665237427,19.3665237427,23000
1999-05-05,19.4291265907,19.5752102493,19.2413047440,19.5334720612,17100
1999-05-06,19.6169490814,19.7630327448,19.5752108919,19.6169490814,17500
1999-05-07,19.7839042476,19.7839042476,19.4917368853,19.5543441772,8000
1999-05-10,19.5752110446,19.7421638040,19.4708655699,19.5126037598,27300
1999-05-11,19.7421671456,19.8673817364,19.7004289487,19.8256435394,51000
1999-05-12,19.6795509207,20.0760636116,19.6378127427,20.0134563446,8100
1999-05-13,20.0969355484,20.0969355484,19.8673755370,19.8882446289,9600
1999-05-14,19.4499956848,19.5752102493,19.4499956848,19.5334720612,4600
1999-05-17,19.3039148597,19.4082603455,19.1578311797,19.4082603455,5800
1999-05-18,19.3247804476,19.5126022878,19.1995658875,19.1995658875,8500
1999-05-19,19.3456484634,19.4917321087,19.3039102790,19.4291248322,12100
1999-05-20,19.5334708937,19.7839000077,19.5334708937,19.6899890900,15300
1999-05-21,19.6169469901,19.6169469901,19.4082560647,19.4708633423,8400
1999-05-24,19.5125998153,19.5334689060,19.0117416382,19.0117416382,14000
1999-05-25,19.0326159830,19.1995687548,18.8239250183,18.8239250183,7200
1999-05-26,18.9491311260,18.9491311260,18.6778329932,18.8447856903,9300
1999-05-27,18.7717498788,18.7717498788,18.5213207531,18.6361007690,6600
1999-05-28,18.6987095696,18.7821859516,18.6674059263,18.7717514038,6000
1999-06-01,18.6778413430,18.8239250183,18.5943649571,18.8239250183,4400
1999-06-02,18.9282652099,18.9282652099,18.5526215783,18.7613124847,9200
1999-06-03,18.8865329414,18.9908784273,18.8865329414,18.9074020386,4900
1999-06-04,19.2830473472,19.3873928415,19.2413091495,19.3665237427,1200
1999-06-07,19.1995658875,19.1995658875,19.0534822340,19.1995658875,4200
1999-06-08,19.1160926045,19.2100035398,19.0430507660,19.0430507660,6400
1999-06-09,19.0534877777,19.1995714737,19.0221841286,19.0534877777,3000
1999-06-10,18.8447903886,18.8969631195,18.6569685575,18.8969631195,13300
1999-06-11,18.9908718130,19.0117409029,18.6778354645,18.6778354645,2500
1999-06-14,18.8656628927,18.8656628927,18.7404483159,18.7821865082,12700
1999-06-15,18.9073969705,19.1578260694,18.9073969705,18.9908733368,3600
1999-06-16,19.3247855450,19.3665237427,19.3039164461,19.3665237427,13500
1999-06-17,19.4082555081,19.5439046057,19.3456482322,19.4604282379,12300
1999-06-18,19.3665237427,19.4708692370,19.3247855450,19.3665237427,6200
1999-06-21,19.4291317728,19.4291317728,19.2621789756,19.2726135254,14100
1999-06-22,19.4291223890,19.4291223890,19.2413005829,19.2413005829,3900
1999-06-23,19.1682628904,19.2830429077,19.0117446850,19.2830429077,7900
1999-06-24,19.0743540140,19.1369613029,18.8343594066,18.9282703400,14100
1999-06-25,19.1160856323,19.1160856323,18.9491329193,18.9491329193,3000
1999-06-28,18.9908689611,19.1578216553,18.9699998743,19.1578216553,3000
1999-06-29,19.1995717432,19.3873936407,19.1369644441,19.3456554413,2100
1999-06-30,19.3873935980,19.6795609934,19.1995717009,19.5960845947,22500
1999-07-01,19.5126020326,19.7004238704,19.4499947534,19.6586856842,3900
1999-07-02,19.7212929635,19.7212929635,19.5126020326,19.6586856842,17700
1999-07-06,19.4499963233,19.6378181762,19.4499963233,19.6169490814,7100
1999-07-07,19.6169519324,19.7421665192,19.5960828346,19.7421665192,3200
1999-07-08,19.6169554177,19.7526045775,19.5752172147,19.7004318237,9600
1999-07-09,19.6378232356,19.7839069366,19.6378232356,19.7839069366,17000
1999-07-12,19.8256435394,19.8882508348,19.7004289487,19.8256435394,4700
1999-07-13,19.7839069366,19.8673833372,19.7421687364,19.7839069366,5300
1999-07-14,19.8673817364,19.8673817364,19.6586907517,19.8256435394,19700
1999-07-15,19.9717265010,19.9717265010,19.8047737194,19.9195537567,12700
1999-07-16,19.9299850464,19.9925923293,19.8047704807,19.9299850464,4900
1999-07-19,20.0551970348,20.0551970348,19.8256370272,19.8465061188,7000
1999-07-20,19.7839039175,19.8882494023,19.7212966266,19.7630348206,18900
1999-07-21,19.6586890206,19.8047726969,19.6169508273,19.7212963104,16200
1999-07-22,19.6169513169,19.7004277055,19.3873912483,19.4082603455,12100
1999-07-23,19.3665151203,19.4917296577,19.1995624037,19.2413005829,27300
1999-07-26,19.0743565296,19.3456548172,19.0743565296,19.2621784210,17400
1999-07-27,19.5543417971,19.6795563657,19.3873890390,19.6169490814,16300
1999-07-28,19.5543397125,19.5960778975,19.4291251572,19.4708633423,7400
1999-07-29,19.2621736391,19.2830427330,19.0743517943,19.1369590759,10500
1999-07-30,19.1578252732,19.2621707267,19.0117416382,19.0117416382,2800
1999-08-02,19.0326116572,19.1369571159,18.8656589234,18.8865280151,87600
1999-08-03,18.9073945320,18.9073945320,18.6465309209,18.8030490875,5500
1999-08-04,18.7613116191,18.8030497985,18.5317516327,18.5317516327,86400
1999-08-05,18.5317583908,18.5317583908,18.1561146396,18.4795856476,31900
1999-08-06,18.3021972974,18.3856736819,18.1978518168,18.2813282013,11700
1999-08-09,18.2813159764,18.3647923051,18.2395778121,18.3021850586,6200
1999-08-10,18.1352433232,18.1352433232,17.8222069022,17.9369869232,6000
1999-08-11,17.8952448983,18.1143703461,17.8952448983,18.1143703461,11700
1999-08-12,18.1561085266,18.2395848876,18.0517630753,18.1143703461,10000
1999-08-13,18.3648028433,18.4900174082,18.3439337492,18.4274101257,8000
1999-08-16,18.4482792199,18.5943628789,18.4065410316,18.4274101257,18400
1999-08-17,18.6152327877,18.7195782629,18.5213218599,18.6569709778,15100
1999-08-18,18.7404483159,18.8760974407,18.6465373834,18.7821865082,7900
1999-08-19,18.5317529440,18.6987056732,18.5004493073,18.6987056732,4900
1999-08-20,18.7404473580,18.7821855481,18.6569709778,18.6569709778,2700
1999-08-23,18.8447908544,18.8656599473,18.7508799365,18.8343563080,8700
1999-08-24,18.7821926160,18.7821926160,18.4482869695,18.5735015869,14300
1999-08-25,18.4691438696,18.9491329193,18.4587093250,18.9491329193,22100
1999-08-26,18.8239181764,18.9282636208,18.7195727320,18.8030490875,6000
1999-08-27,18.8239242997,18.8239242997,18.5839296994,18.6674060822,6500
1999-08-30,18.6465320150,18.6465320150,18.2187156677,18.2187156677,18000
1999-08-31,18.1561088562,18.2500197641,17.9474179498,18.1561088562,18100
1999-09-01,18.0726298125,18.2604516004,18.0517607250,18.1769752502,3800
1999-09-02,17.9891529083,18.1039328863,17.9682838214,17.9891529083,8600
1999-09-03,18.4169770895,18.6256680481,18.4065425416,18.5630607605,6200
1999-09-07,18.7300137679,18.8447937965,18.7300137679,18.7821865082,11500
1999-09-08,18.6987056732,18.8656584024,18.6987056732,18.6987056732,14300
1999-09-09,18.6778471014,18.7300198587,17.8639520881,18.5735015869,6900
1999-09-10,18.6674009195,18.7404427342,18.5630554700,18.6778354645,11300
1999-09-13,18.6569761459,18.6882797971,18.5421960913,18.6465415955,5500
1999-09-14,18.5213208131,18.6047971886,18.4587135315,18.4587135315,6100
1999-09-15,18.5734955470,18.5943646431,18.2395900091,18.2813282013,7300
1999-09-16,18.1769851689,18.2917652130,18.0726396742,18.2917652130,7000
1999-09-17,18.3752389010,18.8134899139,18.3752389010,18.8134899139,9800
1999-09-20,18.9074019743,18.9074019743,18.2395908671,18.5839309692,7600
1999-09-21,18.4274063372,18.9804372182,18.2082808938,18.2500190735,9600
1999-09-22,18.2708935735,18.3230663136,18.0935062572,18.2082862854,4800
1999-09-23,18.2500253624,18.3543708476,18.0100307465,18.0100307465,4000
1999-09-24,18.0413424114,18.0413424114,17.7178712635,17.7283058167,5500
1999-09-27,17.9474252184,17.9474252184,17.8326451734,17.8639488220,5200
1999-09-28,17.7804673393,17.8535091652,17.5091691287,17.6969909668,20000
1999-09-29,17.8013354037,17.9265499552,17.7491626740,17.7491626740,3900
1999-09-30,17.7804651594,17.9682869744,17.6761197066,17.9056797028,9600
1999-10-01,17.8743841707,17.9369914707,17.6030858704,17.8430805206,9900
1999-10-04,17.8639412629,18.1143703461,17.8639412629,18.1143703461,6400
1999-10-05,18.0309040985,18.0935114044,17.8743858337,17.8743858337,9200
1999-10-06,17.9056847818,18.3230667114,17.9056847818,18.3230667114,21700
1999-10-07,18.2917579454,18.3752343079,18.1352397656,18.1561088562,12600
1999-10-08,18.0830699873,18.3543682098,18.0830699873,18.3543682098,4300
1999-10-11,18.2395778121,18.4065304694,18.2395778121,18.3021850586,3600
1999-10-12,18.1561056035,18.1978437773,17.9891529083,17.9891529083,4300
1999-10-13,17.9578469900,17.9891506163,17.5926380157,17.5926380157,12900
1999-10-14,17.4778641973,17.6343823842,17.4256914684,17.5300369263,5200
1999-10-15,17.2378687035,17.3630832462,17.1126541609,17.2274341583,7100
1999-10-18,17.0604845756,17.1961336885,16.9144009157,17.1439609528,3900
1999-10-19,17.3943925832,17.4674344237,17.1543979645,17.1543979645,6300
1999-10-20,17.4674280805,17.6135117085,17.3317789975,17.5717735291,46400
1999-10-21,17.4778605044,17.6030750275,17.4256877865,17.6030750275,4200
1999-10-22,17.6969862498,17.8430698627,17.6969862498,17.8222007751,25900
1999-10-25,17.7804626000,17.8222007751,17.6552480747,17.8222007751,24600
1999-10-26,17.8639437118,17.9056818980,17.6969909668,17.6969909668,30800
1999-10-27,17.7282946065,17.7491636996,17.5091691287,17.6969909668,33200
1999-10-28,17.9995934663,18.4691480784,17.9995934663,18.4587135315,8000
1999-10-29,18.8239244619,19.0326154204,18.7717517222,18.8134899139,39400
1999-11-01,18.8969668560,18.8969668560,18.7821868254,18.8239250183,22400
1999-11-02,18.8865328772,18.9178365229,18.5630618721,18.5839309692,19900
1999-11-03,18.7195788213,18.7195788213,18.5213224124,18.6674060822,7400
1999-11-04,18.7821820008,18.9491347297,18.7821820008,18.8760929108,8800
1999-11-05,19.1369500549,19.1369500549,18.7926101685,18.7926101685,23600
1999-11-08,18.6987104395,18.8656632113,18.6987104395,18.8239250183,16600
1999-11-09,18.9073965847,18.9178311303,18.6569674909,18.6987056732,10000
1999-11-10,18.4795843802,18.8239244619,18.4795843802,18.8134899139,21300
1999-11-11,18.9804334107,19.0952133819,18.9282606966,19.0326061249,8000
1999-11-12,19.2934803112,19.4499985398,19.0534856940,19.4082603455,33500
