Date,Open,High,Low,Close,Volume
1998-12-22,9.3033620916,9.3607902527,9.3033620916,9.3607902527,7400
1998-12-23,9.3722614437,9.4641463598,9.3607758292,9.4009761810,24000
1998-12-24,9.5330647042,9.5732650757,9.4871222237,9.5732650757,3200
1998-12-28,9.5273276971,9.5330698092,9.4871273041,9.4871273041,17200
1998-12-29,9.5158411936,9.6938676834,9.5158411936,9.6938676834,2200
1998-12-30,9.6881273562,9.7053550962,9.6134700775,9.6134700775,63400
1998-12-31,9.6134648768,9.6479217402,9.6019792557,9.6019792557,64800
1999-01-04,9.6134675022,9.7512949933,9.5215825082,9.5445537567,10400
1999-01-05,9.6019802748,9.7053508759,9.6019802748,9.7053508759,2600
1999-01-06,9.8202050816,9.9810037613,9.8202050816,9.9810037613,16200
1999-01-07,9.9350646509,10.0384352658,9.9235790270,9.9695215225,27400
1999-01-08,10.0269462412,10.0728887211,9.9637760324,9.9810037613,37200
1999-01-11,10.0154685279,10.0269541570,9.8489276078,9.9293270111,126200
1999-01-12,9.7800116363,9.8087250014,9.6594118574,9.6708974838,6600
1999-01-13,9.4411838342,9.7168388367,9.4411838342,9.7168388367,6800
1999-01-14,9.6249513868,9.6708938755,9.4526670541,9.4986095428,73200
1999-01-15,9.6249542624,9.6306977762,9.5732696481,9.6192121506,69600
1999-01-19,9.7283263508,9.7685267475,9.6134700775,9.6134700775,8200
1999-01-20,9.7512930916,9.8661493118,9.7110941156,9.7742643356,7000
1999-01-21,9.7512944177,9.7627800413,9.6594094291,9.6823806763,63000
1999-01-22,9.5330720584,9.7570425247,9.5101008004,9.7283277512,24600
1999-01-25,9.6823796312,9.7283221205,9.6364371418,9.7053508759,16200
1999-01-26,9.7627790264,9.9350633621,9.7340656714,9.9350633621,7400
1999-01-27,9.9465542877,9.9695255447,9.9235830307,9.9235830307,3800
1999-01-28,9.9465571357,10.0269565582,9.9465571357,10.0269565582,8600
1999-01-29,10.0614055204,10.1303192568,9.9924917839,10.0958623886,13600
1999-02-01,10.1418066988,10.1475502122,10.0843785748,10.1188354492,12200
1999-02-02,10.0384322967,10.0384322967,9.9006048509,9.9924898148,41800
1999-02-03,9.9695170346,10.1647725526,9.9580314159,10.1532869339,46200
1999-02-04,10.2164621284,10.2279477511,10.0843767659,10.0958623886,39000
1999-02-05,9.9924908775,10.0556624979,9.8431777954,9.8431777954,11600
1999-02-08,9.9293247657,10.0039806366,9.8029828748,10.0039806366,16400
1999-02-09,9.8776376869,9.8891233121,9.6938676834,9.6938676834,18800
1999-02-10,9.6823820582,9.7512958095,9.6364395573,9.6938676834,18400
1999-02-11,9.7512963798,10.0212092892,9.7225830161,10.0097236633,24400
1999-02-12,9.8776332686,9.8891188887,9.7685205789,9.8316907883,11600
1999-02-16,9.9178383879,10.0154655043,9.9120948741,9.9580373764,18600
1999-02-17,9.9810111732,10.1245822306,9.9235830307,9.9235830307,29400
1999-02-18,9.9235777397,9.9350633621,9.8374362729,9.9350633621,7000
1999-02-19,9.9465530679,9.9867534637,9.9178397012,9.9867534637,1800
1999-02-22,10.0154620132,10.2394323349,10.0154620132,10.2394323349,28000
1999-02-23,10.2451693590,10.2566549748,10.1073419685,10.1877412796,13600
1999-02-24,10.2566627063,10.3255764534,10.0614070892,10.0614070892,18000
1999-02-25,10.0384363236,10.0499219487,9.7972381968,9.9465513229,38200
1999-02-26,9.9350634633,10.0728909333,9.9350634633,10.0326919556,17000
1999-03-01,10.0039781117,10.0384349823,9.9465499939,10.0384349823,17200
1999-03-02,10.0614070892,10.1820068478,10.0614070892,10.0614070892,36200
1999-03-03,10.0728939047,10.0901230446,10.0097236633,10.0097236633,2000
1999-03-04,10.2336917406,10.2566629903,10.1303211169,10.2222061157,10800
1999-03-05,10.4519206331,10.6012337850,10.4519206331,10.5323200226,49600
1999-03-08,10.6127172961,10.6127172961,10.4404329244,10.5782604218,24600
1999-03-09,10.5552819489,10.6701381181,10.5265686076,10.6069679260,24200
1999-03-10,10.6127172961,10.6299464343,10.5552891722,10.5782604218,11200
1999-03-11,10.6586621671,10.7562907004,10.6299487998,10.6931190491,26200
1999-03-12,10.8079683997,10.8653964996,10.4748854204,10.7390546799,27400
1999-03-15,10.7275708747,10.7677712525,10.6586571432,10.7620277405,14200
1999-03-16,10.8309421836,10.8309421836,10.6586578435,10.7046003342,12400
1999-03-17,10.6931177665,10.6931177665,10.5552902551,10.6586608887,13400
1999-03-18,10.5897500879,10.8424339294,10.5897500879,10.8424339294,14000
1999-03-19,10.8427068628,10.8427068628,10.6932315826,10.6932315826,26200
1999-03-22,10.6702347133,10.6702347133,10.5322575403,10.5782499313,37200
1999-03-23,10.4977628778,10.4977628778,10.2333066389,10.2563028336,19600
1999-03-24,10.3022917494,10.3022917494,10.1528165343,10.1758127213,25800
1999-03-25,10.3367917914,10.4862670898,10.2793012920,10.4862670898,20400
1999-03-26,10.4632639832,10.5092563524,10.3712792449,10.4172716141,12600
1999-03-29,10.5954967998,10.6702337265,10.5725006064,10.6702337265,10200
1999-03-30,10.6242435895,10.7047302833,10.5897492921,10.6817340851,72600
1999-03-31,10.7392224692,10.7507205661,10.5207586288,10.5207586288,48800
1999-04-01,10.5782516363,10.5782516363,10.4460241926,10.5092630386,8200
1999-04-05,10.5782482485,10.6817311118,10.5437539607,10.6472368240,19200
1999-04-06,10.6874845395,10.7737195868,10.6472404882,10.7047309875,21800
1999-04-07,10.7909683414,10.8197128917,10.7622223875,10.7967166901,27200
1999-04-08,10.8312088549,11.0381746292,10.8312088549,11.0381746292,41600
1999-04-09,10.9921806619,11.1589037691,10.9921806619,11.1416559219,145800
1999-04-12,10.9691853733,11.2796340160,10.9691853733,11.2336416245,42200
1999-04-13,11.2681350983,11.2796331953,11.1186598368,11.1761503220,65400
1999-04-14,11.1761472280,11.1991434158,10.9231891632,10.9231891632,99400
1999-04-15,10.9921770056,11.0151731918,10.7392189573,10.9001922607,71600
1999-04-16,10.9001933317,10.9461857087,10.8197066721,10.9346876144,23200
1999-04-19,11.1071631278,11.2451403095,10.6587372872,10.6932315826,74800
1999-04-20,10.7622205892,10.8772015784,10.7277262925,10.8312091827,31200
1999-04-21,10.9001967484,11.0151777267,10.8427062592,11.0151777267,90200
1999-04-22,11.0726774816,11.1531642338,10.9921907294,11.0439329147,71400
1999-04-23,11.0841670876,11.1876499754,11.0841670876,11.1646537781,4000
1999-04-26,11.2106440351,11.2221421316,11.0956630707,11.0956630707,188800
1999-04-27,11.1646503995,11.1761484947,11.0841637334,11.1244077682,8200
1999-04-28,11.1876436338,11.2566321866,11.0841608047,11.0841608047,12000
1999-04-29,10.9921825676,11.0726692601,10.7852167871,10.8312091827,35800
1999-04-30,10.9346939002,10.9576901018,10.4747698665,10.7967166901,74600
1999-05-03,10.8197114463,11.0726696310,10.8197114463,11.0611715317,181200
1999-05-04,11.1876456875,11.1991437818,10.8656990491,10.9346876144,382800
