Strategy variant,Rebalance date,Effective date,Selected ETFs,Previous weights,New weights,Turnover,Cost bps,Cost as portfolio return,Execution model
Top 1 momentum,1999-09-30,1999-10-01,XLI,cash,XLI:1.000000,1.0000000000,5.0000000000,0.0005000000,close-to-close same-close approximation
Top 1 momentum,1999-10-29,1999-11-01,QQQ,XLI:1.000000,QQQ:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2000-05-31,2000-06-01,XLE,QQQ:1.000000,XLE:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2000-07-31,2000-08-01,XLF,XLE:1.000000,XLF:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2000-09-29,2000-10-02,XLU,XLF:1.000000,XLU:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2000-12-29,2001-01-02,XLF,XLU:1.000000,XLF:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2001-02-28,2001-03-01,XLU,XLF:1.000000,XLU:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2001-03-30,2001-04-02,XLB,XLU:1.000000,XLB:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2001-06-29,2001-07-02,XLY,XLB:1.000000,XLY:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2001-07-31,2001-08-01,XLB,XLY:1.000000,XLB:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2001-08-31,2001-09-04,XLY,XLB:1.000000,XLY:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2001-09-28,2001-10-01,XLP,XLY:1.000000,XLP:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2001-12-31,2002-01-02,XLY,XLP:1.000000,XLY:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2002-04-30,2002-05-01,XLV,XLY:1.000000,XLV:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2002-06-28,2002-07-01,XLB,XLV:1.000000,XLB:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2002-07-31,2002-08-01,XLV,XLB:1.000000,XLV:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2002-11-29,2002-12-02,XLK,XLV:1.000000,XLK:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2002-12-31,2003-01-02,XLV,XLK:1.000000,XLV:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2003-01-31,2003-02-03,QQQ,XLV:1.000000,QQQ:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
Top 1 momentum,2003-04-30,2003-05-01,XLU,QQQ:1.000000,XLU:1.000000,2.0000000000,5.0000000000,0.0010000000,close-to-close same-close approximation
